project,table,variable
BiB_1000,bib1000_12m_bib12n,BiBPersonID
BiB_1000,bib1000_12m_bib12n,has_bib1000_12m_bib12n
BiB_1000,bib1000_12m_bib12n,agecm_bib12n
BiB_1000,bib1000_12m_bib12n,agecy_bib12n
BiB_1000,bib1000_12m_bib12n,bib12ncalcium
BiB_1000,bib1000_12m_bib12n,bib12ncarbohydrate
BiB_1000,bib1000_12m_bib12n,bib12ncarbohydrate_cat
BiB_1000,bib1000_12m_bib12n,bib12nchloride
BiB_1000,bib1000_12m_bib12n,bib12ncholest
BiB_1000,bib1000_12m_bib12n,bib12ncopper
BiB_1000,bib1000_12m_bib12n,bib12nenergyfromcho
BiB_1000,bib1000_12m_bib12n,bib12nenergyfromcho_cat
BiB_1000,bib1000_12m_bib12n,bib12nenergyfromfat
BiB_1000,bib1000_12m_bib12n,bib12nenergyfromfat_cat
BiB_1000,bib1000_12m_bib12n,bib12nenergyfromsugar
BiB_1000,bib1000_12m_bib12n,bib12nenglyst
BiB_1000,bib1000_12m_bib12n,bib12nenglyst_cat
BiB_1000,bib1000_12m_bib12n,bib12nfat
BiB_1000,bib1000_12m_bib12n,bib12nfat_cat
BiB_1000,bib1000_12m_bib12n,bib12nfolate
BiB_1000,bib1000_12m_bib12n,bib12niron
BiB_1000,bib1000_12m_bib12n,bib12nkcal
BiB_1000,bib1000_12m_bib12n,bib12nkcal_cat
BiB_1000,bib1000_12m_bib12n,bib12nkcal_cho
BiB_1000,bib1000_12m_bib12n,bib12nkcal_fat
BiB_1000,bib1000_12m_bib12n,bib12nkcal_prot
BiB_1000,bib1000_12m_bib12n,bib12nkj
BiB_1000,bib1000_12m_bib12n,bib12nkj_cat
BiB_1000,bib1000_12m_bib12n,bib12nlncarbohydrate
BiB_1000,bib1000_12m_bib12n,bib12nlnenergyfromcho
BiB_1000,bib1000_12m_bib12n,bib12nlnenergyfromfat
BiB_1000,bib1000_12m_bib12n,bib12nlnenglyst
BiB_1000,bib1000_12m_bib12n,bib12nlnfat
BiB_1000,bib1000_12m_bib12n,bib12nlnkcal
BiB_1000,bib1000_12m_bib12n,bib12nlnkj
BiB_1000,bib1000_12m_bib12n,bib12nlnprotein
BiB_1000,bib1000_12m_bib12n,bib12nmagnesium
BiB_1000,bib1000_12m_bib12n,bib12nniacin
BiB_1000,bib1000_12m_bib12n,bib12nphosphorus
BiB_1000,bib1000_12m_bib12n,bib12npotassium
BiB_1000,bib1000_12m_bib12n,bib12nprotein
BiB_1000,bib1000_12m_bib12n,bib12nprotein_cat
BiB_1000,bib1000_12m_bib12n,bib12nretinol
BiB_1000,bib1000_12m_bib12n,bib12nsodium
BiB_1000,bib1000_12m_bib12n,bib12nstarch
BiB_1000,bib1000_12m_bib12n,bib12nsugars
BiB_1000,bib1000_12m_bib12n,bib12nvitb1
BiB_1000,bib1000_12m_bib12n,bib12nvitb12
BiB_1000,bib1000_12m_bib12n,bib12nvitb2
BiB_1000,bib1000_12m_bib12n,bib12nvitb6
BiB_1000,bib1000_12m_bib12n,bib12nvitc
BiB_1000,bib1000_12m_bib12n,bib12nvitd
BiB_1000,bib1000_12m_bib12n,bib12nvite
BiB_1000,bib1000_12m_bib12n,bib12nwater
BiB_1000,bib1000_12m_bib12n,bib12nzinc
BiB_1000,bib1000_12m_bib12n,has_bib12n
