variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_1000.bib1000_24m_main.BiBPersonID,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,BiBPersonID,,text,,,1763,1763
BiB_1000.bib1000_24m_main.has_bib1000_24m_main,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,has_bib1000_24m_main,Has bib 1000 24m questionnaire main table,integer,,administration,1763,1763
BiB_1000.bib1000_24m_main.agecm_b24tab,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,agecm_b24tab,Child age (months) BiB1000 24m questionnaire,integer,,age,1228,1228
BiB_1000.bib1000_24m_main.agecy_b24tab,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,agecy_b24tab,Child age (years) BiB1000 24m questionnaire,integer,,age,1228,1228
BiB_1000.bib1000_24m_main.agemm_b24tab,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,agemm_b24tab,Mother age (months) BiB1000 24m questionnaire,integer,,age,1228,1228
BiB_1000.bib1000_24m_main.agemy_b24tab,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,agemy_b24tab,Mother age (years) BiB1000 24m questionnaire,integer,,age,1228,1228
BiB_1000.bib1000_24m_main.bib24a01,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24a01,Describe your own health,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],general_health,1228,1228
BiB_1000.bib1000_24m_main.bib24a02,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24a02,Describe your child's health,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],general_health,1228,1228
BiB_1000.bib1000_24m_main.bib24b01,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24b01,Marital status,categorical,[1 Married] [2 Re-married] [3 Single] [4 Separated] [5 Divorced] [6 Widowed],marital_status,1227,1227
BiB_1000.bib1000_24m_main.bib24b02,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24b02,Living arrangements,categorical,[1 Living with baby's father] [2 Living with another partner] [3 Not living with partner but in a relationship] [4 Not living with partner and not in a relationship],household_composition,1227,1227
BiB_1000.bib1000_24m_main.bib24bmarcohab,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24bmarcohab,Marital/cohabitation status (derived),categorical,"[1 Married] [2 Cohabiting with partner] [3 Partner, not cohabiting] [4 Single]",marital_status,1226,1226
BiB_1000.bib1000_24m_main.bib24c01,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24c01,Has child seen a doctor/nurse since they were 6 months old,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],health_services_utilisation,1228,1228
BiB_1000.bib1000_24m_main.bib24c02,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24c02,How many times seen doctor/nurse,categorical,[1 Once] [2 Twice] [3 3-4 times] [4 5-10 times] [5 11+ times] [6 Don't know] [7 Refused to answer],health_services_utilisation,736,736
BiB_1000.bib1000_24m_main.bib24c03abreathprob,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24c03abreathprob,Saw doctor - breathing problems,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],respiratory_system,1228,1228
BiB_1000.bib1000_24m_main.bib24c03achestinf,BiB_1000.bib1000_24m_main,BiB_1000,bib1000_24m_main,bib24c03achestinf,Saw doctor - chest infection,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],respiratory_system,1228,1228
