variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_1000.bib1000_36m_main.BiBPersonID,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,BiBPersonID,,text,,,1763,1763
BiB_1000.bib1000_36m_main.has_bib1000_36m_main,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,has_bib1000_36m_main,Has bib 1000 36m questionnaire main table,integer,,administration,1763,1763
BiB_1000.bib1000_36m_main.agecm_b36tab,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,agecm_b36tab,Child age (months) BiB1000 36m questionnaire,integer,,age,1232,1232
BiB_1000.bib1000_36m_main.agecy_b36tab,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,agecy_b36tab,Child age (years) BiB1000 36m questionnaire,integer,,age,1232,1232
BiB_1000.bib1000_36m_main.agemm_b36tab,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,agemm_b36tab,Mother age (months) BiB1000 36m questionnaire,integer,,age,1232,1232
BiB_1000.bib1000_36m_main.agemy_b36tab,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,agemy_b36tab,Mother age (years) BiB1000 36m questionnaire,integer,,age,1232,1232
BiB_1000.bib1000_36m_main.bib36a01,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36a01,Describe your own health,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],general_health,1231,1231
BiB_1000.bib1000_36m_main.bib36a02,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36a02,Describe your child's health,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],general_health,1231,1231
BiB_1000.bib1000_36m_main.bib36b01,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b01,Has child seen a doctor/nurse since birth,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],health_services_utilisation,1232,1232
BiB_1000.bib1000_36m_main.bib36b02,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b02,How many times seen doctor/nurse,categorical,[1 Once] [2 Twice] [3 3-4 times] [4 5-10 times] [5 11+ times] [6 Don't know] [7 Refused to answer],health_services_utilisation,839,839
BiB_1000.bib1000_36m_main.bib36b03aaccident,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03aaccident,Saw doctor - accident,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],health_services_utilisation,1232,1232
BiB_1000.bib1000_36m_main.bib36b03abreathprob,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03abreathprob,Saw doctor - breathing problems,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],respiratory_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03achestinf,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03achestinf,Saw doctor - chest infection,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],respiratory_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03aconstipation,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03aconstipation,Saw doctor - constipation,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],digestive_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03aconvulsions,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03aconvulsions,Saw doctor - convulsions,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],nervous_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03acough,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03acough,Saw doctor - cough,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],respiratory_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03acrying,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03acrying,Saw doctor - crying,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],general_health,1232,1232
BiB_1000.bib1000_36m_main.bib36b03adiarrhoea,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03adiarrhoea,Saw doctor - diarrhoea,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],digestive_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03aearprob,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03aearprob,Saw doctor - ear problems,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],hearing_vision_speech,1232,1232
BiB_1000.bib1000_36m_main.bib36b03againmuchwt,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03againmuchwt,Saw doctor - gaining too much weight,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],anthropometry,1232,1232
BiB_1000.bib1000_36m_main.bib36b03ahightemp,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03ahightemp,Saw doctor - high temperature,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],infections,1232,1232
BiB_1000.bib1000_36m_main.bib36b03anogainwt,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03anogainwt,Saw doctor - not gaining weight,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],anthropometry,1232,1232
BiB_1000.bib1000_36m_main.bib36b03aother,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03aother,Saw doctor - other reason,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],health_services_utilisation,1232,1232
BiB_1000.bib1000_36m_main.bib36b03askinprob,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03askinprob,Saw doctor - skin problems,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],skin_diseases_dermatology,1232,1232
BiB_1000.bib1000_36m_main.bib36b03asnuffles,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03asnuffles,Saw doctor - snuffles,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],respiratory_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03athrush,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03athrush,Saw doctor - thrush,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],urogenital_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03atummy,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03atummy,Saw doctor - tummy upset,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],digestive_system,1232,1232
BiB_1000.bib1000_36m_main.bib36b03auti,BiB_1000.bib1000_36m_main,BiB_1000,bib1000_36m_main,bib36b03auti,Saw doctor - urinary tract infection,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused to answer],urogenital_system,1232,1232
