project,table,variable
BiB_1000,bib1000_36m_main,BiBPersonID
BiB_1000,bib1000_36m_main,has_bib1000_36m_main
BiB_1000,bib1000_36m_main,agecm_b36tab
BiB_1000,bib1000_36m_main,agecy_b36tab
BiB_1000,bib1000_36m_main,agemm_b36tab
BiB_1000,bib1000_36m_main,agemy_b36tab
BiB_1000,bib1000_36m_main,bib36a01
BiB_1000,bib1000_36m_main,bib36a02
BiB_1000,bib1000_36m_main,bib36b01
BiB_1000,bib1000_36m_main,bib36b02
BiB_1000,bib1000_36m_main,bib36b03aaccident
BiB_1000,bib1000_36m_main,bib36b03abreathprob
BiB_1000,bib1000_36m_main,bib36b03achestinf
BiB_1000,bib1000_36m_main,bib36b03aconstipation
BiB_1000,bib1000_36m_main,bib36b03aconvulsions
BiB_1000,bib1000_36m_main,bib36b03acough
BiB_1000,bib1000_36m_main,bib36b03acrying
BiB_1000,bib1000_36m_main,bib36b03adiarrhoea
BiB_1000,bib1000_36m_main,bib36b03aearprob
BiB_1000,bib1000_36m_main,bib36b03againmuchwt
BiB_1000,bib1000_36m_main,bib36b03ahightemp
BiB_1000,bib1000_36m_main,bib36b03anogainwt
BiB_1000,bib1000_36m_main,bib36b03aother
BiB_1000,bib1000_36m_main,bib36b03askinprob
BiB_1000,bib1000_36m_main,bib36b03asnuffles
BiB_1000,bib1000_36m_main,bib36b03athrush
BiB_1000,bib1000_36m_main,bib36b03atummy
BiB_1000,bib1000_36m_main,bib36b03auti
BiB_1000,bib1000_36m_main,bib36b03avomiting
BiB_1000,bib1000_36m_main,bib36b03baccident
BiB_1000,bib1000_36m_main,bib36b03bbreathprob
BiB_1000,bib1000_36m_main,bib36b03bchestinf
BiB_1000,bib1000_36m_main,bib36b03bconstipation
BiB_1000,bib1000_36m_main,bib36b03bconvulsions
BiB_1000,bib1000_36m_main,bib36b03bcough
BiB_1000,bib1000_36m_main,bib36b03bcrying
BiB_1000,bib1000_36m_main,bib36b03bdiarrhoea
BiB_1000,bib1000_36m_main,bib36b03bearprob
BiB_1000,bib1000_36m_main,bib36b03bgainmuchwt
BiB_1000,bib1000_36m_main,bib36b03bhightemp
BiB_1000,bib1000_36m_main,bib36b03bnogainwt
BiB_1000,bib1000_36m_main,bib36b03bother
BiB_1000,bib1000_36m_main,bib36b03bskinprob
BiB_1000,bib1000_36m_main,bib36b03bsnuffles
BiB_1000,bib1000_36m_main,bib36b03bthrush
BiB_1000,bib1000_36m_main,bib36b03btummy
BiB_1000,bib1000_36m_main,bib36b03buti
BiB_1000,bib1000_36m_main,bib36b03bvomiting
BiB_1000,bib1000_36m_main,bib36b04a
BiB_1000,bib1000_36m_main,bib36b04b
BiB_1000,bib1000_36m_main,bib36b04c
BiB_1000,bib1000_36m_main,bib36b04d
BiB_1000,bib1000_36m_main,bib36b04e
BiB_1000,bib1000_36m_main,bib36b05a
BiB_1000,bib1000_36m_main,bib36b05b
BiB_1000,bib1000_36m_main,bib36b06a
BiB_1000,bib1000_36m_main,bib36b06b
BiB_1000,bib1000_36m_main,bib36b07a
BiB_1000,bib1000_36m_main,bib36b07b
BiB_1000,bib1000_36m_main,bib36c01
BiB_1000,bib1000_36m_main,bib36c02
BiB_1000,bib1000_36m_main,bib36d01a
BiB_1000,bib1000_36m_main,bib36d01b
