variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder_2023.recruitment.aow_person_id,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,aow_person_id,Age of Wonder person ID,text,,,10385,8991
BiB_AgeOfWonder_2023.recruitment.BiBPersonID,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,BiBPersonID,BiB cohort person ID,text,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.is_bib,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,is_bib,Participant is in original BiB cohort,integer,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.upn,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,upn,Unique Pupil Number,text,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.aow_recruitment_id,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,aow_recruitment_id,Age of Wonder year group recruitment ID,text,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.birth_date,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,birth_date,Date of birth,date,,age,10385,8991
BiB_AgeOfWonder_2023.recruitment.birth_year,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,birth_year,Year of birth,integer,,age,10385,8991
BiB_AgeOfWonder_2023.recruitment.birth_month,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,birth_month,Month of birth,integer,,age,10385,8991
BiB_AgeOfWonder_2023.recruitment.postcode,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,postcode,Home postcode,text,,location,10385,8991
BiB_AgeOfWonder_2023.recruitment.recruitment_era,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,recruitment_era,Recruitment era (academic year),text,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.recruitment_date,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,recruitment_date,Recruitment date (import of class list),date,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.recruitment_year,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,recruitment_year,Recruitment year,integer,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.recruitment_month,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,recruitment_month,Recruitment month,integer,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.age_recruitment_y,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,age_recruitment_y,Age at recruitment in years,integer,,age,10385,8991
BiB_AgeOfWonder_2023.recruitment.age_recruitment_m,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,age_recruitment_m,Age at recruitment in months,integer,,age,10385,8991
BiB_AgeOfWonder_2023.recruitment.school_establishment_no,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,school_establishment_no,School local authority establishment number,text,,education,10385,8991
BiB_AgeOfWonder_2023.recruitment.school,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,school,School name,text,,education,10385,8991
BiB_AgeOfWonder_2023.recruitment.school_id,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,school_id,Pseudo school ID,text,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.year_group,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,year_group,Year group at recruitment,text,,education,10385,8991
BiB_AgeOfWonder_2023.recruitment.form_tutor,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,form_tutor,Form tutor at recruitment,text,,education,10385,8991
BiB_AgeOfWonder_2023.recruitment.form_tutor_id,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,form_tutor_id,Pseudo recruitment form tutor ID,text,,administration,10385,8991
BiB_AgeOfWonder_2023.recruitment.gender,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,10384,8990
BiB_AgeOfWonder_2023.recruitment.ethnicity_1,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,10385,8991
BiB_AgeOfWonder_2023.recruitment.ethnicity_2,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,ethnicity_2,Ethnicity reported by school - lower level category,categorical,"[11 Indian] [12 Pakistani] [13 Bangladeshi] [14 Chinese] [15 Any other Asian background] [21 Caribbean] [22 African] [23 Any other Black, Black British, or Caribbean background] [31 White and Black Caribbean] [32 White and Black African] [33 White and Asian] [34 Any other Mixed or multiple ethnic background] [41 English, Welsh, Scottish, Northern Irish or British] [42 Irish] [43 Gypsy or Irish Traveller] [44 Roma] [45 Any other White background] [51 Arab] [52 Any other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,10382,8988
BiB_AgeOfWonder_2023.recruitment.fsm,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,fsm,Free school meals,categorical,[0 No] [1 Yes],finances,9742,8510
BiB_AgeOfWonder_2023.recruitment.sen,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,sen,Special educational needs provision,categorical,"[0 No special educational need] [1 Special educational need support] [2 Education, Health and Care Plan]",learning_difficulties,8681,7522
BiB_AgeOfWonder_2023.recruitment.LSOA11CD,BiB_AgeOfWonder_2023.recruitment,BiB_AgeOfWonder_2023,recruitment,LSOA11CD,"LSOA code, 2011 boundaries",text,,,10385,8991
