project,table,variable
BiB_AgeOfWonder_2023,survey_mod02,aow_person_id
BiB_AgeOfWonder_2023,survey_mod02,BiBPersonID
BiB_AgeOfWonder_2023,survey_mod02,is_bib
BiB_AgeOfWonder_2023,survey_mod02,aow_recruitment_id
BiB_AgeOfWonder_2023,survey_mod02,recruitment_era
BiB_AgeOfWonder_2023,survey_mod02,age_recruitment_y
BiB_AgeOfWonder_2023,survey_mod02,age_recruitment_m
BiB_AgeOfWonder_2023,survey_mod02,gender
BiB_AgeOfWonder_2023,survey_mod02,ethnicity_1
BiB_AgeOfWonder_2023,survey_mod02,ethnicity_2
BiB_AgeOfWonder_2023,survey_mod02,birth_year
BiB_AgeOfWonder_2023,survey_mod02,birth_month
BiB_AgeOfWonder_2023,survey_mod02,school_id
BiB_AgeOfWonder_2023,survey_mod02,year_group
BiB_AgeOfWonder_2023,survey_mod02,form_tutor_id
BiB_AgeOfWonder_2023,survey_mod02,age_survey_y
BiB_AgeOfWonder_2023,survey_mod02,age_survey_m
BiB_AgeOfWonder_2023,survey_mod02,survey_date
BiB_AgeOfWonder_2023,survey_mod02,survey_version
BiB_AgeOfWonder_2023,survey_mod02,survey_mode
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_1
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_2
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_3
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_4
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_5
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_6
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_7
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_8
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_9
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_10
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_11
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_12
BiB_AgeOfWonder_2023,survey_mod02,awb2_1_illhealth_13
