project,table,variable
BiB_AgeOfWonder_2024,recruitment,aow_person_id
BiB_AgeOfWonder_2024,recruitment,BiBPersonID
BiB_AgeOfWonder_2024,recruitment,is_bib
BiB_AgeOfWonder_2024,recruitment,aow_recruitment_id
BiB_AgeOfWonder_2024,recruitment,birth_year
BiB_AgeOfWonder_2024,recruitment,birth_month
BiB_AgeOfWonder_2024,recruitment,recruitment_era
BiB_AgeOfWonder_2024,recruitment,recruitment_date
BiB_AgeOfWonder_2024,recruitment,recruitment_year
BiB_AgeOfWonder_2024,recruitment,recruitment_month
BiB_AgeOfWonder_2024,recruitment,age_recruitment_y
BiB_AgeOfWonder_2024,recruitment,age_recruitment_m
BiB_AgeOfWonder_2024,recruitment,school_id
BiB_AgeOfWonder_2024,recruitment,year_group
BiB_AgeOfWonder_2024,recruitment,form_tutor_id
BiB_AgeOfWonder_2024,recruitment,gender
BiB_AgeOfWonder_2024,recruitment,ethnicity_1
BiB_AgeOfWonder_2024,recruitment,ethnicity_2
BiB_AgeOfWonder_2024,recruitment,fsm
BiB_AgeOfWonder_2024,recruitment,sen
BiB_AgeOfWonder_2024,recruitment,LSOA11CD
BiB_AgeOfWonder_2024,recruitment,IMD_2019_decile
BiB_AgeOfWonder_2024,recruitment,IMD_2019_score
BiB_AgeOfWonder_2024,recruitment,has_survey_m231
BiB_AgeOfWonder_2024,recruitment,has_survey_m232
BiB_AgeOfWonder_2024,recruitment,has_survey_m1
BiB_AgeOfWonder_2024,recruitment,has_survey_m2
BiB_AgeOfWonder_2024,recruitment,has_survey_m3
BiB_AgeOfWonder_2024,recruitment,has_survey_m4
BiB_AgeOfWonder_2024,recruitment,has_survey
BiB_AgeOfWonder_2024,recruitment,has_bioimp
BiB_AgeOfWonder_2024,recruitment,has_bp
BiB_AgeOfWonder_2024,recruitment,has_skinfld
BiB_AgeOfWonder_2024,recruitment,has_htwt
BiB_AgeOfWonder_2024,recruitment,has_measure
BiB_AgeOfWonder_2024,recruitment,has_data
