variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder_2024.survey_mod232_derived.aow_person_id,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,aow_person_id,Age of Wonder person ID,text,,administration,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.BiBPersonID,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,BiBPersonID,BiB cohort person ID,text,,administration,4463,3670
BiB_AgeOfWonder_2024.survey_mod232_derived.is_bib,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,is_bib,Participant is in original BiB cohort,integer,,administration,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.aow_recruitment_id,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,aow_recruitment_id,Age of Wonder year group recruitment ID,text,,administration,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.recruitment_era,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,recruitment_era,Recruitment era (academic year),text,,education,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.age_recruitment_y,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,age_recruitment_y,Age at recruitment in years,integer,,age,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.age_recruitment_m,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,age_recruitment_m,Age at recruitment in months,integer,,age,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.gender,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,12607,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.ethnicity_1,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.ethnicity_2,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,ethnicity_2,Ethnicity reported by school - lower level category,categorical,"[11 Indian] [12 Pakistani] [13 Bangladeshi] [14 Chinese] [15 Any other Asian background] [21 Caribbean] [22 African] [23 Any other Black, Black British, or Caribbean background] [31 White and Black Caribbean] [32 White and Black African] [33 White and Asian] [34 Any other Mixed or multiple ethnic background] [41 English, Welsh, Scottish, Northern Irish or British] [42 Irish] [43 Gypsy or Irish Traveller] [44 Roma] [45 Any other White background] [51 Arab] [52 Any other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,12602,10678
BiB_AgeOfWonder_2024.survey_mod232_derived.birth_year,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,birth_year,Year of birth,integer,,age,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.birth_month,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,birth_month,Month of birth,integer,,age,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.school_id,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,school_id,Pseudo school ID,text,,education,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.year_group,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,year_group,Year group at recruitment,categorical,[7 Year 7] [8 Year 8] [9 Year 9] [10 Year 10] [11 Year 11] [12 Year 12] [13 Year 13] [-1 various - see module specific data],education,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.form_tutor_id,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,form_tutor_id,Pseudo recruitment form tutor ID,text,,education,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.age_survey_y,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,age_survey_y,Age (years) at survey date,integer,,age,12607,10683
BiB_AgeOfWonder_2024.survey_mod232_derived.age_survey_m,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,age_survey_m,Age (months) at survey date,integer,,age,12607,10683
BiB_AgeOfWonder_2024.survey_mod232_derived.survey_date,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,survey_date,Date survey taken,date,,administration,12607,10683
BiB_AgeOfWonder_2024.survey_mod232_derived.survey_version,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,survey_version,Survey version,categorical,[1 v01] [2 v02] [3 v03] [4 v04] [5 v05] [6 v06] [7 v07] [8 v08] [9 v09] [10 v10] [11 v11] [12 v12] [13 v13] [14 v14] [15 v15] [16 v16] [17 v17] [18 v18] [19 v19] [20 v20] [-1 various - see module specific data],administration,12601,10678
BiB_AgeOfWonder_2024.survey_mod232_derived.survey_mode,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,survey_mode,Survey taken online or offline?,categorical,[1 Online] [2 Offline] [3 Mixed],administration,12608,10684
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_ga,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_ga,RCADS-25 General anxiety. Raw score,integer,,mental_health_and_mental_processes,8426,7674
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_md,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_md,RCADS-25 Major depression. Raw score,integer,,mental_health_and_mental_processes,8447,7692
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_total,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_total,RCADS-25 Anxiety and depression. Raw score,integer,,mental_health_and_mental_processes,8415,7664
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_md_t,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_md_t,RCADS-25 Major depression (higher = more depressed). Scaled score,float,,mental_health_and_mental_processes,8446,7692
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_ga_t,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_ga_t,RCADS-25 General anxiety (higher = more anxiety). Scaled score,float,,mental_health_and_mental_processes,8425,7674
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_total_t,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_total_t,RCADS-25 Anxiety and depression. Scaled score,float,,mental_health_and_mental_processes,8414,7664
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_md_cat,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_md_cat,RCADS-25 Major depression category,categorical,[1 Normal] [2 Borderline] [3 Clinical],mental_health_and_mental_processes,8446,7692
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_ga_cat,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_ga_cat,RCADS-25 General anxiety category,categorical,[1 Normal] [2 Borderline] [3 Clinical],mental_health_and_mental_processes,8425,7674
BiB_AgeOfWonder_2024.survey_mod232_derived.rcad_total_cat,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_total_cat,RCADS-25 Anxiety and depression category,categorical,[1 Normal] [2 Borderline] [3 Clinical],mental_health_and_mental_processes,8414,7664
BiB_AgeOfWonder_2024.survey_mod232_derived.sdq_emotion,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_emotion,Strengths and Difficulties Questionnaire (SDQ): Emotional Problems Score,integer,,mental_health_and_mental_processes,2688,2685
BiB_AgeOfWonder_2024.survey_mod232_derived.sdq_conduct,BiB_AgeOfWonder_2024.survey_mod232_derived,BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_conduct,Stengths and Difficulties Questionnaire (SDQ): Conduct Problems Score,integer,,mental_health_and_mental_processes,2693,2690
