project,table,variable
BiB_AgeOfWonder_2024,survey_mod232_derived,aow_person_id
BiB_AgeOfWonder_2024,survey_mod232_derived,BiBPersonID
BiB_AgeOfWonder_2024,survey_mod232_derived,is_bib
BiB_AgeOfWonder_2024,survey_mod232_derived,aow_recruitment_id
BiB_AgeOfWonder_2024,survey_mod232_derived,recruitment_era
BiB_AgeOfWonder_2024,survey_mod232_derived,age_recruitment_y
BiB_AgeOfWonder_2024,survey_mod232_derived,age_recruitment_m
BiB_AgeOfWonder_2024,survey_mod232_derived,gender
BiB_AgeOfWonder_2024,survey_mod232_derived,ethnicity_1
BiB_AgeOfWonder_2024,survey_mod232_derived,ethnicity_2
BiB_AgeOfWonder_2024,survey_mod232_derived,birth_year
BiB_AgeOfWonder_2024,survey_mod232_derived,birth_month
BiB_AgeOfWonder_2024,survey_mod232_derived,school_id
BiB_AgeOfWonder_2024,survey_mod232_derived,year_group
BiB_AgeOfWonder_2024,survey_mod232_derived,form_tutor_id
BiB_AgeOfWonder_2024,survey_mod232_derived,age_survey_y
BiB_AgeOfWonder_2024,survey_mod232_derived,age_survey_m
BiB_AgeOfWonder_2024,survey_mod232_derived,survey_date
BiB_AgeOfWonder_2024,survey_mod232_derived,survey_version
BiB_AgeOfWonder_2024,survey_mod232_derived,survey_mode
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_ga
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_md
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_total
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_md_t
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_ga_t
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_total_t
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_md_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_ga_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,rcad_total_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_emotion
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_conduct
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_hyperact
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_peer
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_prosoc
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_total
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_external
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_internal
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_emotion_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_conduct_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_hyperact_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_peer_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_prosoc_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,sdq_total_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,wellbeing
BiB_AgeOfWonder_2024,survey_mod232_derived,swemwbs_total
BiB_AgeOfWonder_2024,survey_mod232_derived,swemwbs_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,loneliness
BiB_AgeOfWonder_2024,survey_mod232_derived,emo_inf
BiB_AgeOfWonder_2024,survey_mod232_derived,emo_form
BiB_AgeOfWonder_2024,survey_mod232_derived,emo_sch
BiB_AgeOfWonder_2024,survey_mod232_derived,emo_total
BiB_AgeOfWonder_2024,survey_mod232_derived,brs_total
BiB_AgeOfWonder_2024,survey_mod232_derived,brs_mean
BiB_AgeOfWonder_2024,survey_mod232_derived,brs_cat
BiB_AgeOfWonder_2024,survey_mod232_derived,addi_inst_exp
BiB_AgeOfWonder_2024,survey_mod232_derived,addi_peer_exp
BiB_AgeOfWonder_2024,survey_mod232_derived,addi_total
