project,table,variable
BiB_AgeOfWonder_2025,recruitment,aow_person_id
BiB_AgeOfWonder_2025,recruitment,BiBPersonID
BiB_AgeOfWonder_2025,recruitment,is_bib
BiB_AgeOfWonder_2025,recruitment,upn
BiB_AgeOfWonder_2025,recruitment,aow_recruitment_id
BiB_AgeOfWonder_2025,recruitment,birth_date
BiB_AgeOfWonder_2025,recruitment,birth_year
BiB_AgeOfWonder_2025,recruitment,birth_month
BiB_AgeOfWonder_2025,recruitment,postcode
BiB_AgeOfWonder_2025,recruitment,recruitment_era
BiB_AgeOfWonder_2025,recruitment,recruitment_date
BiB_AgeOfWonder_2025,recruitment,recruitment_year
BiB_AgeOfWonder_2025,recruitment,recruitment_month
BiB_AgeOfWonder_2025,recruitment,age_recruitment_y
BiB_AgeOfWonder_2025,recruitment,age_recruitment_m
BiB_AgeOfWonder_2025,recruitment,school_establishment_no
BiB_AgeOfWonder_2025,recruitment,school
BiB_AgeOfWonder_2025,recruitment,school_id
BiB_AgeOfWonder_2025,recruitment,year_group
BiB_AgeOfWonder_2025,recruitment,form_tutor
BiB_AgeOfWonder_2025,recruitment,form_tutor_id
BiB_AgeOfWonder_2025,recruitment,gender
BiB_AgeOfWonder_2025,recruitment,ethnicity_1
BiB_AgeOfWonder_2025,recruitment,ethnicity_2
BiB_AgeOfWonder_2025,recruitment,fsm
BiB_AgeOfWonder_2025,recruitment,sen
BiB_AgeOfWonder_2025,recruitment,LSOA11CD
BiB_AgeOfWonder_2025,recruitment,IMD_2019_decile
BiB_AgeOfWonder_2025,recruitment,IMD_2019_score
BiB_AgeOfWonder_2025,recruitment,has_survey_m24
BiB_AgeOfWonder_2025,recruitment,has_survey_m231
BiB_AgeOfWonder_2025,recruitment,has_survey_m232
BiB_AgeOfWonder_2025,recruitment,has_survey_m1
BiB_AgeOfWonder_2025,recruitment,has_survey_m2
BiB_AgeOfWonder_2025,recruitment,has_survey_m3
BiB_AgeOfWonder_2025,recruitment,has_survey_m4
BiB_AgeOfWonder_2025,recruitment,has_survey
BiB_AgeOfWonder_2025,recruitment,has_bioimp
BiB_AgeOfWonder_2025,recruitment,has_bp
BiB_AgeOfWonder_2025,recruitment,has_skinfld
BiB_AgeOfWonder_2025,recruitment,has_htwt
BiB_AgeOfWonder_2025,recruitment,has_bloods
BiB_AgeOfWonder_2025,recruitment,has_ckcog
BiB_AgeOfWonder_2025,recruitment,has_measure
BiB_AgeOfWonder_2025,recruitment,has_data
BiB_AgeOfWonder_2025,survey_mod24_main,aow_person_id
BiB_AgeOfWonder_2025,survey_mod24_main,BiBPersonID
BiB_AgeOfWonder_2025,survey_mod24_main,is_bib
BiB_AgeOfWonder_2025,survey_mod24_main,aow_recruitment_id
BiB_AgeOfWonder_2025,survey_mod24_main,recruitment_era
BiB_AgeOfWonder_2025,survey_mod24_main,age_recruitment_y
BiB_AgeOfWonder_2025,survey_mod24_main,age_recruitment_m
BiB_AgeOfWonder_2025,survey_mod24_main,gender
BiB_AgeOfWonder_2025,survey_mod24_main,ethnicity_1
BiB_AgeOfWonder_2025,survey_mod24_main,ethnicity_2
BiB_AgeOfWonder_2025,survey_mod24_main,birth_year
BiB_AgeOfWonder_2025,survey_mod24_main,birth_month
BiB_AgeOfWonder_2025,survey_mod24_main,school_id
BiB_AgeOfWonder_2025,survey_mod24_main,year_group
BiB_AgeOfWonder_2025,survey_mod24_main,form_tutor_id
BiB_AgeOfWonder_2025,survey_mod24_main,age_survey_y
BiB_AgeOfWonder_2025,survey_mod24_main,age_survey_m
BiB_AgeOfWonder_2025,survey_mod24_main,survey_date
BiB_AgeOfWonder_2025,survey_mod24_main,survey_version
BiB_AgeOfWonder_2025,survey_mod24_main,survey_mode
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_country_brth
BiB_AgeOfWonder_2025,survey_mod24_main,aw1_2_years_lvd_a4
BiB_AgeOfWonder_2025,survey_mod24_main,aw1_2_years_lvd_r4
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_r4
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_whte
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_whte_othr
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_mix
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_mix_othr
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_asn
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_asn_othr
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_blck
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_blck_afrcn
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_whte_crrbn
BiB_AgeOfWonder_2025,survey_mod24_main,awb1_2_ethnicity_arb_a4
