project,table,variable
BiB_AgeOfWonder,bioimpedance_dr24,aow_person_id
BiB_AgeOfWonder,bioimpedance_dr24,BiBPersonID
BiB_AgeOfWonder,bioimpedance_dr24,is_bib
BiB_AgeOfWonder,bioimpedance_dr24,aow_recruitment_id
BiB_AgeOfWonder,bioimpedance_dr24,recruitment_era
BiB_AgeOfWonder,bioimpedance_dr24,age_recruitment_y
BiB_AgeOfWonder,bioimpedance_dr24,age_recruitment_m
BiB_AgeOfWonder,bioimpedance_dr24,gender
BiB_AgeOfWonder,bioimpedance_dr24,ethnicity_1
BiB_AgeOfWonder,bioimpedance_dr24,ethnicity_2
BiB_AgeOfWonder,bioimpedance_dr24,birth_year
BiB_AgeOfWonder,bioimpedance_dr24,birth_month
BiB_AgeOfWonder,bioimpedance_dr24,school_id
BiB_AgeOfWonder,bioimpedance_dr24,year_group
BiB_AgeOfWonder,bioimpedance_dr24,form_tutor_id
BiB_AgeOfWonder,bioimpedance_dr24,age_m
BiB_AgeOfWonder,bioimpedance_dr24,age_y
BiB_AgeOfWonder,bioimpedance_dr24,model
BiB_AgeOfWonder,bioimpedance_dr24,height
BiB_AgeOfWonder,bioimpedance_dr24,weight
BiB_AgeOfWonder,bioimpedance_dr24,clothes
BiB_AgeOfWonder,bioimpedance_dr24,bmi
BiB_AgeOfWonder,bioimpedance_dr24,fatp
BiB_AgeOfWonder,bioimpedance_dr24,fatm
BiB_AgeOfWonder,bioimpedance_dr24,pmm
BiB_AgeOfWonder,bioimpedance_dr24,ffm
BiB_AgeOfWonder,bioimpedance_dr24,tbw
BiB_AgeOfWonder,bioimpedance_dr24,imp
