project,table,variable
BiB_AgeOfWonder,bloodpressure_dr24,aow_recruitment_id
BiB_AgeOfWonder,bloodpressure_dr24,aow_person_id
BiB_AgeOfWonder,bloodpressure_dr24,BiBPersonID
BiB_AgeOfWonder,bloodpressure_dr24,is_bib
BiB_AgeOfWonder,bloodpressure_dr24,birth_year
BiB_AgeOfWonder,bloodpressure_dr24,birth_month
BiB_AgeOfWonder,bloodpressure_dr24,recruitment_era
BiB_AgeOfWonder,bloodpressure_dr24,age_recruitment_y
BiB_AgeOfWonder,bloodpressure_dr24,age_recruitment_m
BiB_AgeOfWonder,bloodpressure_dr24,school_id
BiB_AgeOfWonder,bloodpressure_dr24,year_group
BiB_AgeOfWonder,bloodpressure_dr24,form_tutor_id
BiB_AgeOfWonder,bloodpressure_dr24,gender
BiB_AgeOfWonder,bloodpressure_dr24,ethnicity_1
BiB_AgeOfWonder,bloodpressure_dr24,ethnicity_2
BiB_AgeOfWonder,bloodpressure_dr24,age_m
BiB_AgeOfWonder,bloodpressure_dr24,age_y
BiB_AgeOfWonder,bloodpressure_dr24,bp_sys_1
BiB_AgeOfWonder,bloodpressure_dr24,bp_dia_1
BiB_AgeOfWonder,bloodpressure_dr24,bp_sys_2
BiB_AgeOfWonder,bloodpressure_dr24,bp_dia_2
