variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder_Measurements.bioimpedance.aow_recruitment_id,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,aow_recruitment_id,,text,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.aow_person_id,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,aow_person_id,,text,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.height,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,height,,integer,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.BiBPersonID,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,BiBPersonID,BiB cohort person ID,text,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.is_bib,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,is_bib,Participant is in original BiB cohort,integer,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.recruitment_era,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,recruitment_era,Recruitment era (academic year),text,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.age_recruitment_y,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,age_recruitment_y,Age at recruitment in years,integer,,,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.age_recruitment_m,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,age_recruitment_m,Age at recruitment in months,integer,,,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.gender,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.ethnicity_1,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,5565,5565
BiB_AgeOfWonder_Measurements.bioimpedance.ethnicity_2,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,ethnicity_2,Ethnicity reported by school - lower level category,categorical,"[11 Indian] [12 Pakistani] [13 Bangladeshi] [14 Chinese] [15 Any other Asian background] [21 Caribbean] [22 African] [23 Any other Black, Black British, or Caribbean background] [31 White and Black Caribbean] [32 White and Black African] [33 White and Asian] [34 Any other Mixed or multiple ethnic background] [41 English, Welsh, Scottish, Northern Irish or British] [42 Irish] [43 Gypsy or Irish Traveller] [44 Roma] [45 Any other White background] [51 Arab] [52 Any other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,5559,5559
BiB_AgeOfWonder_Measurements.bioimpedance.birth_year,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,birth_year,Year of birth,integer,,age,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.birth_month,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,birth_month,Month of birth,integer,,age,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.school_id,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,school_id,Pseudo school ID,text,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.year_group,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,year_group,Year group at recruitment,categorical,[-1 various - see module specific data] [7 Year 7] [8 Year 8] [9 Year 9] [10 Year 10] [11 Year 11] [12 Year 12] [13 Year 13],education,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.form_tutor_id,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,form_tutor_id,Pseudo recruitment form tutor ID,text,,administration,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.date_measurement,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,date_measurement,Date of measurement,date,,,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.age_m,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,age_m,Age (months) at measurement,integer,,,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.age_y,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,age_y,Age (years) at measurement,integer,,,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.model,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,model,Bioimpedance scale model,text,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.weight,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,weight,Weight (kg),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.clothes,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,clothes,Estimated weight of clothes (kg),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.bmi,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,bmi,BMI (kg/m2),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.fatp,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,fatp,Total fat %,float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.fatm,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,fatm,Fat mass (kg),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.pmm,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,pmm,Predicted muscle mass (kg),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.ffm,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,ffm,Fat free mass (kg),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.tbw,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,tbw,Total body water (%),float,,anthropometry,5566,5566
BiB_AgeOfWonder_Measurements.bioimpedance.imp,BiB_AgeOfWonder_Measurements.bioimpedance,BiB_AgeOfWonder_Measurements,bioimpedance,imp,Impedance (ohms),float,,anthropometry,5566,5566
