project,table,variable
BiB_AgeOfWonder_Measurements,bioimpedance,aow_recruitment_id
BiB_AgeOfWonder_Measurements,bioimpedance,aow_person_id
BiB_AgeOfWonder_Measurements,bioimpedance,height
BiB_AgeOfWonder_Measurements,bioimpedance,BiBPersonID
BiB_AgeOfWonder_Measurements,bioimpedance,is_bib
BiB_AgeOfWonder_Measurements,bioimpedance,recruitment_era
BiB_AgeOfWonder_Measurements,bioimpedance,age_recruitment_y
BiB_AgeOfWonder_Measurements,bioimpedance,age_recruitment_m
BiB_AgeOfWonder_Measurements,bioimpedance,gender
BiB_AgeOfWonder_Measurements,bioimpedance,ethnicity_1
BiB_AgeOfWonder_Measurements,bioimpedance,ethnicity_2
BiB_AgeOfWonder_Measurements,bioimpedance,birth_year
BiB_AgeOfWonder_Measurements,bioimpedance,birth_month
BiB_AgeOfWonder_Measurements,bioimpedance,school_id
BiB_AgeOfWonder_Measurements,bioimpedance,year_group
BiB_AgeOfWonder_Measurements,bioimpedance,form_tutor_id
BiB_AgeOfWonder_Measurements,bioimpedance,date_measurement
BiB_AgeOfWonder_Measurements,bioimpedance,age_m
BiB_AgeOfWonder_Measurements,bioimpedance,age_y
BiB_AgeOfWonder_Measurements,bioimpedance,model
BiB_AgeOfWonder_Measurements,bioimpedance,weight
BiB_AgeOfWonder_Measurements,bioimpedance,clothes
BiB_AgeOfWonder_Measurements,bioimpedance,bmi
BiB_AgeOfWonder_Measurements,bioimpedance,fatp
BiB_AgeOfWonder_Measurements,bioimpedance,fatm
BiB_AgeOfWonder_Measurements,bioimpedance,pmm
BiB_AgeOfWonder_Measurements,bioimpedance,ffm
BiB_AgeOfWonder_Measurements,bioimpedance,tbw
BiB_AgeOfWonder_Measurements,bioimpedance,imp
