project,table,variable
BiB_AgeOfWonder_Measurements,bloodpressure,aow_recruitment_id
BiB_AgeOfWonder_Measurements,bloodpressure,aow_person_id
BiB_AgeOfWonder_Measurements,bloodpressure,BiBPersonID
BiB_AgeOfWonder_Measurements,bloodpressure,is_bib
BiB_AgeOfWonder_Measurements,bloodpressure,birth_year
BiB_AgeOfWonder_Measurements,bloodpressure,birth_month
BiB_AgeOfWonder_Measurements,bloodpressure,recruitment_era
BiB_AgeOfWonder_Measurements,bloodpressure,age_recruitment_y
BiB_AgeOfWonder_Measurements,bloodpressure,age_recruitment_m
BiB_AgeOfWonder_Measurements,bloodpressure,school_id
BiB_AgeOfWonder_Measurements,bloodpressure,year_group
BiB_AgeOfWonder_Measurements,bloodpressure,form_tutor_id
BiB_AgeOfWonder_Measurements,bloodpressure,gender
BiB_AgeOfWonder_Measurements,bloodpressure,ethnicity_1
BiB_AgeOfWonder_Measurements,bloodpressure,ethnicity_2
BiB_AgeOfWonder_Measurements,bloodpressure,age_m
BiB_AgeOfWonder_Measurements,bloodpressure,age_y
BiB_AgeOfWonder_Measurements,bloodpressure,date_measurement
BiB_AgeOfWonder_Measurements,bloodpressure,bp_sys_1
BiB_AgeOfWonder_Measurements,bloodpressure,bp_dia_1
BiB_AgeOfWonder_Measurements,bloodpressure,bp_sys_2
BiB_AgeOfWonder_Measurements,bloodpressure,bp_dia_2
