project,table,variable
BiB_AgeOfWonder_Measurements,bloods,aow_recruitment_id
BiB_AgeOfWonder_Measurements,bloods,aow_person_id
BiB_AgeOfWonder_Measurements,bloods,is_bib
BiB_AgeOfWonder_Measurements,bloods,BiBPersonID
BiB_AgeOfWonder_Measurements,bloods,birth_year
BiB_AgeOfWonder_Measurements,bloods,birth_month
BiB_AgeOfWonder_Measurements,bloods,age_recruitment_m
BiB_AgeOfWonder_Measurements,bloods,age_recruitment_y
BiB_AgeOfWonder_Measurements,bloods,recruitment_era
BiB_AgeOfWonder_Measurements,bloods,school_id
BiB_AgeOfWonder_Measurements,bloods,year_group
BiB_AgeOfWonder_Measurements,bloods,form_tutor_id
BiB_AgeOfWonder_Measurements,bloods,gender
BiB_AgeOfWonder_Measurements,bloods,ethnicity_1
BiB_AgeOfWonder_Measurements,bloods,ethnicity_2
BiB_AgeOfWonder_Measurements,bloods,date_test
BiB_AgeOfWonder_Measurements,bloods,age_m
BiB_AgeOfWonder_Measurements,bloods,age_y
BiB_AgeOfWonder_Measurements,bloods,albumin
BiB_AgeOfWonder_Measurements,bloods,alp
BiB_AgeOfWonder_Measurements,bloods,alt
BiB_AgeOfWonder_Measurements,bloods,basophils
BiB_AgeOfWonder_Measurements,bloods,bilirubin
BiB_AgeOfWonder_Measurements,bloods,cholesterol
BiB_AgeOfWonder_Measurements,bloods,cholesterol_hdl_ratio
BiB_AgeOfWonder_Measurements,bloods,cholesterol_nonhdl
BiB_AgeOfWonder_Measurements,bloods,creatinine
BiB_AgeOfWonder_Measurements,bloods,eosinophils
BiB_AgeOfWonder_Measurements,bloods,glucose_plasma
BiB_AgeOfWonder_Measurements,bloods,haemoglobin
BiB_AgeOfWonder_Measurements,bloods,haematocrit
BiB_AgeOfWonder_Measurements,bloods,hba1c
BiB_AgeOfWonder_Measurements,bloods,hdl
BiB_AgeOfWonder_Measurements,bloods,ldl
BiB_AgeOfWonder_Measurements,bloods,lymphocytes
BiB_AgeOfWonder_Measurements,bloods,mch
BiB_AgeOfWonder_Measurements,bloods,mchc
BiB_AgeOfWonder_Measurements,bloods,mcv
BiB_AgeOfWonder_Measurements,bloods,monocytes
BiB_AgeOfWonder_Measurements,bloods,neutrophils
BiB_AgeOfWonder_Measurements,bloods,platelets
BiB_AgeOfWonder_Measurements,bloods,potassium
BiB_AgeOfWonder_Measurements,bloods,rbc
BiB_AgeOfWonder_Measurements,bloods,rdw
BiB_AgeOfWonder_Measurements,bloods,sodium
BiB_AgeOfWonder_Measurements,bloods,triglycerides
BiB_AgeOfWonder_Measurements,bloods,vitamin_d_total
BiB_AgeOfWonder_Measurements,bloods,urea
BiB_AgeOfWonder_Measurements,bloods,wbc
