project,table,variable
BiB_AgeOfWonder_Measurements,heightweight,aow_recruitment_id
BiB_AgeOfWonder_Measurements,heightweight,aow_person_id
BiB_AgeOfWonder_Measurements,heightweight,BiBPersonID
BiB_AgeOfWonder_Measurements,heightweight,is_bib
BiB_AgeOfWonder_Measurements,heightweight,birth_year
BiB_AgeOfWonder_Measurements,heightweight,birth_month
BiB_AgeOfWonder_Measurements,heightweight,recruitment_era
BiB_AgeOfWonder_Measurements,heightweight,age_recruitment_y
BiB_AgeOfWonder_Measurements,heightweight,age_recruitment_m
BiB_AgeOfWonder_Measurements,heightweight,school_id
BiB_AgeOfWonder_Measurements,heightweight,year_group
BiB_AgeOfWonder_Measurements,heightweight,form_tutor_id
BiB_AgeOfWonder_Measurements,heightweight,gender
BiB_AgeOfWonder_Measurements,heightweight,ethnicity_1
BiB_AgeOfWonder_Measurements,heightweight,ethnicity_2
BiB_AgeOfWonder_Measurements,heightweight,date_measurement
BiB_AgeOfWonder_Measurements,heightweight,age_m
BiB_AgeOfWonder_Measurements,heightweight,age_y
BiB_AgeOfWonder_Measurements,heightweight,height
BiB_AgeOfWonder_Measurements,heightweight,weight
BiB_AgeOfWonder_Measurements,heightweight,bmi
