project,table,variable
BiB_AgeOfWonder_Measurements,skinfold,aow_recruitment_id
BiB_AgeOfWonder_Measurements,skinfold,aow_person_id
BiB_AgeOfWonder_Measurements,skinfold,BiBPersonID
BiB_AgeOfWonder_Measurements,skinfold,is_bib
BiB_AgeOfWonder_Measurements,skinfold,birth_year
BiB_AgeOfWonder_Measurements,skinfold,birth_month
BiB_AgeOfWonder_Measurements,skinfold,recruitment_era
BiB_AgeOfWonder_Measurements,skinfold,age_recruitment_y
BiB_AgeOfWonder_Measurements,skinfold,age_recruitment_m
BiB_AgeOfWonder_Measurements,skinfold,school_id
BiB_AgeOfWonder_Measurements,skinfold,year_group
BiB_AgeOfWonder_Measurements,skinfold,form_tutor_id
BiB_AgeOfWonder_Measurements,skinfold,gender
BiB_AgeOfWonder_Measurements,skinfold,ethnicity_1
BiB_AgeOfWonder_Measurements,skinfold,ethnicity_2
BiB_AgeOfWonder_Measurements,skinfold,age_m
BiB_AgeOfWonder_Measurements,skinfold,age_y
BiB_AgeOfWonder_Measurements,skinfold,date_measurement
BiB_AgeOfWonder_Measurements,skinfold,sk_tricep
BiB_AgeOfWonder_Measurements,skinfold,sk_subscap
