project,table,variable
BiB_AgeOfWonder_Measurements,recruitment,aow_person_id
BiB_AgeOfWonder_Measurements,recruitment,BiBPersonID
BiB_AgeOfWonder_Measurements,recruitment,is_bib
BiB_AgeOfWonder_Measurements,recruitment,upn
BiB_AgeOfWonder_Measurements,recruitment,aow_recruitment_id
BiB_AgeOfWonder_Measurements,recruitment,birth_date
BiB_AgeOfWonder_Measurements,recruitment,birth_year
BiB_AgeOfWonder_Measurements,recruitment,birth_month
BiB_AgeOfWonder_Measurements,recruitment,postcode
BiB_AgeOfWonder_Measurements,recruitment,recruitment_era
BiB_AgeOfWonder_Measurements,recruitment,recruitment_date
BiB_AgeOfWonder_Measurements,recruitment,recruitment_year
BiB_AgeOfWonder_Measurements,recruitment,recruitment_month
BiB_AgeOfWonder_Measurements,recruitment,age_recruitment_y
BiB_AgeOfWonder_Measurements,recruitment,age_recruitment_m
BiB_AgeOfWonder_Measurements,recruitment,school_establishment_no
BiB_AgeOfWonder_Measurements,recruitment,school
BiB_AgeOfWonder_Measurements,recruitment,school_id
BiB_AgeOfWonder_Measurements,recruitment,year_group
BiB_AgeOfWonder_Measurements,recruitment,form_tutor
BiB_AgeOfWonder_Measurements,recruitment,form_tutor_id
BiB_AgeOfWonder_Measurements,recruitment,gender
BiB_AgeOfWonder_Measurements,recruitment,ethnicity_1
BiB_AgeOfWonder_Measurements,recruitment,ethnicity_2
BiB_AgeOfWonder_Measurements,recruitment,fsm
BiB_AgeOfWonder_Measurements,recruitment,sen
BiB_AgeOfWonder_Measurements,recruitment,LSOA11CD
BiB_AgeOfWonder_Measurements,recruitment,IMD_2019_decile
BiB_AgeOfWonder_Measurements,recruitment,IMD_2019_score
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m24
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m231
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m232
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m1
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m2
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m3
BiB_AgeOfWonder_Measurements,recruitment,has_survey_m4
BiB_AgeOfWonder_Measurements,recruitment,has_survey
BiB_AgeOfWonder_Measurements,recruitment,has_bioimp
BiB_AgeOfWonder_Measurements,recruitment,has_bp
BiB_AgeOfWonder_Measurements,recruitment,has_skinfld
BiB_AgeOfWonder_Measurements,recruitment,has_htwt
BiB_AgeOfWonder_Measurements,recruitment,has_bloods
BiB_AgeOfWonder_Measurements,recruitment,has_ckcog
BiB_AgeOfWonder_Measurements,recruitment,has_measure
BiB_AgeOfWonder_Measurements,recruitment,has_data
BiB_AgeOfWonder_Measurements,skinfold,aow_recruitment_id
BiB_AgeOfWonder_Measurements,skinfold,aow_person_id
BiB_AgeOfWonder_Measurements,skinfold,BiBPersonID
BiB_AgeOfWonder_Measurements,skinfold,is_bib
BiB_AgeOfWonder_Measurements,skinfold,birth_year
BiB_AgeOfWonder_Measurements,skinfold,birth_month
BiB_AgeOfWonder_Measurements,skinfold,recruitment_era
BiB_AgeOfWonder_Measurements,skinfold,age_recruitment_y
BiB_AgeOfWonder_Measurements,skinfold,age_recruitment_m
BiB_AgeOfWonder_Measurements,skinfold,school_id
BiB_AgeOfWonder_Measurements,skinfold,year_group
BiB_AgeOfWonder_Measurements,skinfold,form_tutor_id
BiB_AgeOfWonder_Measurements,skinfold,gender
BiB_AgeOfWonder_Measurements,skinfold,ethnicity_1
BiB_AgeOfWonder_Measurements,skinfold,ethnicity_2
BiB_AgeOfWonder_Measurements,skinfold,age_m
BiB_AgeOfWonder_Measurements,skinfold,age_y
BiB_AgeOfWonder_Measurements,skinfold,date_measurement
BiB_AgeOfWonder_Measurements,skinfold,sk_tricep
BiB_AgeOfWonder_Measurements,skinfold,sk_subscap
BiB_AgeOfWonder_Measurements,heightweight,aow_recruitment_id
BiB_AgeOfWonder_Measurements,heightweight,aow_person_id
BiB_AgeOfWonder_Measurements,heightweight,BiBPersonID
BiB_AgeOfWonder_Measurements,heightweight,is_bib
BiB_AgeOfWonder_Measurements,heightweight,birth_year
BiB_AgeOfWonder_Measurements,heightweight,birth_month
BiB_AgeOfWonder_Measurements,heightweight,recruitment_era
BiB_AgeOfWonder_Measurements,heightweight,age_recruitment_y
BiB_AgeOfWonder_Measurements,heightweight,age_recruitment_m
BiB_AgeOfWonder_Measurements,heightweight,school_id
BiB_AgeOfWonder_Measurements,heightweight,year_group
BiB_AgeOfWonder_Measurements,heightweight,form_tutor_id
BiB_AgeOfWonder_Measurements,heightweight,gender
BiB_AgeOfWonder_Measurements,heightweight,ethnicity_1
BiB_AgeOfWonder_Measurements,heightweight,ethnicity_2
BiB_AgeOfWonder_Measurements,heightweight,date_measurement
BiB_AgeOfWonder_Measurements,heightweight,age_m
BiB_AgeOfWonder_Measurements,heightweight,age_y
BiB_AgeOfWonder_Measurements,heightweight,height
BiB_AgeOfWonder_Measurements,heightweight,weight
BiB_AgeOfWonder_Measurements,heightweight,bmi
BiB_AgeOfWonder_Measurements,bloodpressure,aow_recruitment_id
BiB_AgeOfWonder_Measurements,bloodpressure,aow_person_id
BiB_AgeOfWonder_Measurements,bloodpressure,BiBPersonID
BiB_AgeOfWonder_Measurements,bloodpressure,is_bib
BiB_AgeOfWonder_Measurements,bloodpressure,birth_year
BiB_AgeOfWonder_Measurements,bloodpressure,birth_month
BiB_AgeOfWonder_Measurements,bloodpressure,recruitment_era
BiB_AgeOfWonder_Measurements,bloodpressure,age_recruitment_y
BiB_AgeOfWonder_Measurements,bloodpressure,age_recruitment_m
BiB_AgeOfWonder_Measurements,bloodpressure,school_id
BiB_AgeOfWonder_Measurements,bloodpressure,year_group
BiB_AgeOfWonder_Measurements,bloodpressure,form_tutor_id
BiB_AgeOfWonder_Measurements,bloodpressure,gender
BiB_AgeOfWonder_Measurements,bloodpressure,ethnicity_1
BiB_AgeOfWonder_Measurements,bloodpressure,ethnicity_2
BiB_AgeOfWonder_Measurements,bloodpressure,age_m
BiB_AgeOfWonder_Measurements,bloodpressure,age_y
BiB_AgeOfWonder_Measurements,bloodpressure,date_measurement
BiB_AgeOfWonder_Measurements,bloodpressure,bp_sys_1
BiB_AgeOfWonder_Measurements,bloodpressure,bp_dia_1
BiB_AgeOfWonder_Measurements,bloodpressure,bp_sys_2
BiB_AgeOfWonder_Measurements,bloodpressure,bp_dia_2
BiB_AgeOfWonder_Measurements,bioimpedance,aow_recruitment_id
BiB_AgeOfWonder_Measurements,bioimpedance,aow_person_id
BiB_AgeOfWonder_Measurements,bioimpedance,height
BiB_AgeOfWonder_Measurements,bioimpedance,BiBPersonID
BiB_AgeOfWonder_Measurements,bioimpedance,is_bib
BiB_AgeOfWonder_Measurements,bioimpedance,recruitment_era
BiB_AgeOfWonder_Measurements,bioimpedance,age_recruitment_y
BiB_AgeOfWonder_Measurements,bioimpedance,age_recruitment_m
BiB_AgeOfWonder_Measurements,bioimpedance,gender
BiB_AgeOfWonder_Measurements,bioimpedance,ethnicity_1
BiB_AgeOfWonder_Measurements,bioimpedance,ethnicity_2
BiB_AgeOfWonder_Measurements,bioimpedance,birth_year
BiB_AgeOfWonder_Measurements,bioimpedance,birth_month
BiB_AgeOfWonder_Measurements,bioimpedance,school_id
