project,table,variable
BiB_AgeOfWonder,survey_mod231_derived_dr24,aow_person_id
BiB_AgeOfWonder,survey_mod231_derived_dr24,BiBPersonID
BiB_AgeOfWonder,survey_mod231_derived_dr24,is_bib
BiB_AgeOfWonder,survey_mod231_derived_dr24,aow_recruitment_id
BiB_AgeOfWonder,survey_mod231_derived_dr24,recruitment_era
BiB_AgeOfWonder,survey_mod231_derived_dr24,age_recruitment_y
BiB_AgeOfWonder,survey_mod231_derived_dr24,age_recruitment_m
BiB_AgeOfWonder,survey_mod231_derived_dr24,gender
BiB_AgeOfWonder,survey_mod231_derived_dr24,ethnicity_1
BiB_AgeOfWonder,survey_mod231_derived_dr24,ethnicity_2
BiB_AgeOfWonder,survey_mod231_derived_dr24,birth_year
BiB_AgeOfWonder,survey_mod231_derived_dr24,birth_month
BiB_AgeOfWonder,survey_mod231_derived_dr24,school_id
BiB_AgeOfWonder,survey_mod231_derived_dr24,year_group
BiB_AgeOfWonder,survey_mod231_derived_dr24,form_tutor_id
BiB_AgeOfWonder,survey_mod231_derived_dr24,age_survey_y
BiB_AgeOfWonder,survey_mod231_derived_dr24,age_survey_m
BiB_AgeOfWonder,survey_mod231_derived_dr24,survey_date
BiB_AgeOfWonder,survey_mod231_derived_dr24,survey_version
BiB_AgeOfWonder,survey_mod231_derived_dr24,survey_mode
BiB_AgeOfWonder,survey_mod231_derived_dr24,own_fin_total
BiB_AgeOfWonder,survey_mod231_derived_dr24,food_avail_total
BiB_AgeOfWonder,survey_mod231_derived_dr24,edeqs_total
BiB_AgeOfWonder,survey_mod231_derived_dr24,edeqs_cat
BiB_AgeOfWonder,survey_mod231_derived_dr24,paqa_total
BiB_AgeOfWonder,survey_mod231_derived_dr24,paqa_mean
BiB_AgeOfWonder,survey_mod231_derived_dr24,yapsed_total
BiB_AgeOfWonder,survey_mod231_derived_dr24,yapsed_mean
