project,table,variable
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_age_rsn_2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_lang_rsn_1___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_1___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_names_rsn_2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_1___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_service_rsn_2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_9
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_1___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_int_rsn_2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_10
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_1___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_afraid_rsn_2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_11
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_1___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb8_2_threat_rsn_2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___8
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___9
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___10
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media___11
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_othr
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_r10___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_r10___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_r10___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_r10___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_r10___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_social_media_r10___11
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_time_weekday
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_time_weekend
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_positive_exp_othr
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___1
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___2
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___3
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___6
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_negative_exp_r5___7
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_neg_exp_othr_r5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_1_pos_neg
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_6_int_hme
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_6_int_hme_gd
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_6_int_hme_hrs
BiB_AgeOfWonder,survey_mod232_main_dr24,awb6_6_int_hme_hrs_wknd
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_9_resil6_a5
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_psychosis_3_r4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_upsetting_3_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_pst_yr_3_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_psychosis_5_r4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_upsetting_5_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_pst_yr_5_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_psychosis_2_r4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_upsetting_2_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_pst_yr_2_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_plot_hrm_a4
BiB_AgeOfWonder,survey_mod232_main_dr24,awb2_11_psychosis_10_r4
