project,table,variable
BiB_ALL_IN,allin12_cc,BiBPersonID
BiB_ALL_IN,allin12_cc,has_allin12_cc
BiB_ALL_IN,allin12_cc,all12f2badd
BiB_ALL_IN,allin12_cc,all12f2bnme
BiB_ALL_IN,allin12_cc,all12f2bpcd
BiB_ALL_IN,allin12_cc,all12f2ch
BiB_ALL_IN,allin12_cc,all12f2chna
BiB_ALL_IN,allin12_cc,all12f2cmn
BiB_ALL_IN,allin12_cc,all12f2cmnna
BiB_ALL_IN,allin12_cc,all12f2cr
BiB_ALL_IN,allin12_cc,all12f2croth
BiB_ALL_IN,allin12_cc,all12f2cwk
BiB_ALL_IN,allin12_cc,all12f2cwkna
BiB_ALL_IN,allin12_cc,all12f2fd
BiB_ALL_IN,allin12_cc,all12f2hm
BiB_ALL_IN,allin12_cc,all12f2hr
BiB_ALL_IN,allin12_cc,has_all1qs
