project,table,variable
BiB_ALL_IN,allin12_qs,BiBPersonID
BiB_ALL_IN,allin12_qs,has_allin12_qs
BiB_ALL_IN,allin12_qs,agecm_all1qs
BiB_ALL_IN,allin12_qs,agecy_all1qs
BiB_ALL_IN,allin12_qs,all12a1
BiB_ALL_IN,allin12_qs,all12a2
BiB_ALL_IN,allin12_qs,all12b1
BiB_ALL_IN,allin12_qs,all12b2
BiB_ALL_IN,allin12_qs,all12b3abpr
BiB_ALL_IN,allin12_qs,all12b3acgh
BiB_ALL_IN,allin12_qs,all12b3acif
BiB_ALL_IN,allin12_qs,all12b3acon
BiB_ALL_IN,allin12_qs,all12b3acry
BiB_ALL_IN,allin12_qs,all12b3adir
BiB_ALL_IN,allin12_qs,all12b3aepr
BiB_ALL_IN,allin12_qs,all12b3afit
BiB_ALL_IN,allin12_qs,all12b3agtw
BiB_ALL_IN,allin12_qs,all12b3ahtp
BiB_ALL_IN,allin12_qs,all12b3ana
BiB_ALL_IN,allin12_qs,all12b3angw
BiB_ALL_IN,allin12_qs,all12b3aods
BiB_ALL_IN,allin12_qs,all12b3aoth
BiB_ALL_IN,allin12_qs,all12b3asnu
BiB_ALL_IN,allin12_qs,all12b3aspr
BiB_ALL_IN,allin12_qs,all12b3atsh
BiB_ALL_IN,allin12_qs,all12b3atum
BiB_ALL_IN,allin12_qs,all12b3auti
BiB_ALL_IN,allin12_qs,all12b3avom
BiB_ALL_IN,allin12_qs,all12b3bbpr
BiB_ALL_IN,allin12_qs,all12b3bcgh
BiB_ALL_IN,allin12_qs,all12b3bcif
BiB_ALL_IN,allin12_qs,all12b3bcon
BiB_ALL_IN,allin12_qs,all12b3bcry
BiB_ALL_IN,allin12_qs,all12b3bdir
BiB_ALL_IN,allin12_qs,all12b3bepr
BiB_ALL_IN,allin12_qs,all12b3bfit
BiB_ALL_IN,allin12_qs,all12b3bgtw
BiB_ALL_IN,allin12_qs,all12b3bhtp
BiB_ALL_IN,allin12_qs,all12b3bna
BiB_ALL_IN,allin12_qs,all12b3bngw
BiB_ALL_IN,allin12_qs,all12b3bods
BiB_ALL_IN,allin12_qs,all12b3both
BiB_ALL_IN,allin12_qs,all12b3bsnu
BiB_ALL_IN,allin12_qs,all12b3bspr
BiB_ALL_IN,allin12_qs,all12b3btsh
BiB_ALL_IN,allin12_qs,all12b3btum
BiB_ALL_IN,allin12_qs,all12b3buti
BiB_ALL_IN,allin12_qs,all12b3bvom
BiB_ALL_IN,allin12_qs,all12b4
BiB_ALL_IN,allin12_qs,all12b5
BiB_ALL_IN,allin12_qs,all12b5a
BiB_ALL_IN,allin12_qs,all12b6
BiB_ALL_IN,allin12_qs,all12b6a
BiB_ALL_IN,allin12_qs,all12b7
BiB_ALL_IN,allin12_qs,all12b7a
BiB_ALL_IN,allin12_qs,all12bbyac
BiB_ALL_IN,allin12_qs,all12bbyln
BiB_ALL_IN,allin12_qs,all12bbywt
BiB_ALL_IN,allin12_qs,all12byacu
BiB_ALL_IN,allin12_qs,all12bylnu
BiB_ALL_IN,allin12_qs,all12bywtu
BiB_ALL_IN,allin12_qs,all12c1
BiB_ALL_IN,allin12_qs,all12c2
BiB_ALL_IN,allin12_qs,all12c3
BiB_ALL_IN,allin12_qs,all12c3dy
BiB_ALL_IN,allin12_qs,all12c3dyna
BiB_ALL_IN,allin12_qs,all12c3mn
BiB_ALL_IN,allin12_qs,all12c3mnna
BiB_ALL_IN,allin12_qs,all12c3wk
BiB_ALL_IN,allin12_qs,all12c3wkna
BiB_ALL_IN,allin12_qs,all12c4
BiB_ALL_IN,allin12_qs,all12c4dy
BiB_ALL_IN,allin12_qs,all12c4dyna
BiB_ALL_IN,allin12_qs,all12c4mn
BiB_ALL_IN,allin12_qs,all12c4mnna
BiB_ALL_IN,allin12_qs,all12c4wk
BiB_ALL_IN,allin12_qs,all12c4wkna
BiB_ALL_IN,allin12_qs,all12c5
BiB_ALL_IN,allin12_qs,all12c5dy
BiB_ALL_IN,allin12_qs,all12c5dyna
BiB_ALL_IN,allin12_qs,all12c5mn
BiB_ALL_IN,allin12_qs,all12c5mnna
BiB_ALL_IN,allin12_qs,all12c5wk
BiB_ALL_IN,allin12_qs,all12c5wkna
BiB_ALL_IN,allin12_qs,all12c6
BiB_ALL_IN,allin12_qs,all12c6dy
BiB_ALL_IN,allin12_qs,all12c6dyna
BiB_ALL_IN,allin12_qs,all12c6mn
BiB_ALL_IN,allin12_qs,all12c6mnna
BiB_ALL_IN,allin12_qs,all12c6wk
BiB_ALL_IN,allin12_qs,all12c6wkna
BiB_ALL_IN,allin12_qs,all12cpl
BiB_ALL_IN,allin12_qs,all12cploth
BiB_ALL_IN,allin12_qs,all12d1
BiB_ALL_IN,allin12_qs,all12d2
BiB_ALL_IN,allin12_qs,all12d3
BiB_ALL_IN,allin12_qs,all12e1
BiB_ALL_IN,allin12_qs,all12e10
BiB_ALL_IN,allin12_qs,all12e1oth
BiB_ALL_IN,allin12_qs,all12e2
BiB_ALL_IN,allin12_qs,all12e3
BiB_ALL_IN,allin12_qs,all12e4
BiB_ALL_IN,allin12_qs,all12e5
BiB_ALL_IN,allin12_qs,all12e6
BiB_ALL_IN,allin12_qs,all12e7
BiB_ALL_IN,allin12_qs,all12e8
BiB_ALL_IN,allin12_qs,all12e9
BiB_ALL_IN,allin12_qs,all12f1
BiB_ALL_IN,allin12_qs,all12g1
BiB_ALL_IN,allin12_qs,all12h1
BiB_ALL_IN,allin12_qs,all12h2
BiB_ALL_IN,allin12_qs,all12j1
BiB_ALL_IN,allin12_qs,all12j10
BiB_ALL_IN,allin12_qs,all12j11bby
BiB_ALL_IN,allin12_qs,all12j11kit
BiB_ALL_IN,allin12_qs,all12j11liv
BiB_ALL_IN,allin12_qs,all12j11ply
BiB_ALL_IN,allin12_qs,all12j11sit
BiB_ALL_IN,allin12_qs,all12j12
BiB_ALL_IN,allin12_qs,all12j13dk
BiB_ALL_IN,allin12_qs,all12j13fm
BiB_ALL_IN,allin12_qs,all12j13ft
BiB_ALL_IN,allin12_qs,all12j13no
BiB_ALL_IN,allin12_qs,all12j13sy
BiB_ALL_IN,allin12_qs,all12j14bl
BiB_ALL_IN,allin12_qs,all12j14dk
BiB_ALL_IN,allin12_qs,all12j14ft
BiB_ALL_IN,allin12_qs,all12j14ot
BiB_ALL_IN,allin12_qs,all12j14sy
BiB_ALL_IN,allin12_qs,all12j15
BiB_ALL_IN,allin12_qs,all12j15a
BiB_ALL_IN,allin12_qs,all12j1bir
BiB_ALL_IN,allin12_qs,all12j1cat
BiB_ALL_IN,allin12_qs,all12j1dog
BiB_ALL_IN,allin12_qs,all12j1fur
BiB_ALL_IN,allin12_qs,all12j1oth
