variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_ALL_IN.allin24_qs.BiBPersonID,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,BiBPersonID,,text,,,2067,2067
BiB_ALL_IN.allin24_qs.has_allin24_qs,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,has_allin24_qs,Has all in 24m questionnaire,integer,,administration,2067,2067
BiB_ALL_IN.allin24_qs.agecm_all2qs,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,agecm_all2qs,Child age (months): ALL IN 24m Questionnaire,integer,,age,2067,2067
BiB_ALL_IN.allin24_qs.agecy_all2qs,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,agecy_all2qs,Child age (years): ALL IN 24m Questionnaire,integer,,age,2067,2067
BiB_ALL_IN.allin24_qs.all24a1,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24a1,General health of parent,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],general_health,2067,2067
BiB_ALL_IN.allin24_qs.all24a2,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24a2,General health of child,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],general_health,2067,2067
BiB_ALL_IN.allin24_qs.all24b1,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b1,Has your child seen a doctor or nurse since 1st birthday,categorical,[1 Yes] [2 No] [3 Don't know] [4 Refused],health_services_utilisation,2067,2067
BiB_ALL_IN.allin24_qs.all24b2,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b2,How many visits child had,categorical,[1 Once] [2 Twice] [3 3-4] [4 5-10] [5 >=11] [6 Don't know] [7 Refused],health_services_utilisation,1610,1610
BiB_ALL_IN.allin24_qs.all24b3abpr,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3abpr,Visit for Breathing problems,categorical,[1 Yes],respiratory_system,110,110
BiB_ALL_IN.allin24_qs.all24b3acgh,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3acgh,Visit for Cough,categorical,[1 Yes],infections,454,454
BiB_ALL_IN.allin24_qs.all24b3acif,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3acif,Visit for Chest infection,categorical,[1 Yes],respiratory_system,363,363
BiB_ALL_IN.allin24_qs.all24b3acon,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3acon,Visit for constipation,categorical,[1 Yes],digestive_system,88,88
BiB_ALL_IN.allin24_qs.all24b3acry,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3acry,Visit for crying,categorical,[1 Yes],general_health,9,9
BiB_ALL_IN.allin24_qs.all24b3adir,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3adir,Visit for diarrhoea,integer,,digestive_system,2067,2067
BiB_ALL_IN.allin24_qs.all24b3aepr,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3aepr,Visit for Ear problems,categorical,[1 Yes],hearing_vision_speech,178,178
BiB_ALL_IN.allin24_qs.all24b3afit,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3afit,Visit for Convulsions/fits,categorical,[1 Yes],nervous_system,18,18
BiB_ALL_IN.allin24_qs.all24b3agtw,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3agtw,Visit for gaining too much weight,categorical,[1 Yes],anthropometry,1,1
BiB_ALL_IN.allin24_qs.all24b3ahtp,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3ahtp,Visit for High temperature,categorical,[1 Yes],infections,643,643
BiB_ALL_IN.allin24_qs.all24b3ana,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3ana,reason not applicable,categorical,[1 Yes],general_health,4,4
BiB_ALL_IN.allin24_qs.all24b3angw,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3angw,Visit for Not gaining enough weight,categorical,[1 Yes],anthropometry,32,32
BiB_ALL_IN.allin24_qs.all24b3aods,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3aods,Description of other condition,text,,general_health,2067,2067
BiB_ALL_IN.allin24_qs.all24b3aoth,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3aoth,Visit for Other condition,categorical,[1 Yes],general_health,404,404
BiB_ALL_IN.allin24_qs.all24b3asnu,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3asnu,Visit for Snuffles/cold,categorical,[1 Yes],respiratory_system,685,685
BiB_ALL_IN.allin24_qs.all24b3aspr,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3aspr,Visit for Skin problems,categorical,[1 Yes],skin_diseases_dermatology,286,286
BiB_ALL_IN.allin24_qs.all24b3atsh,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3atsh,Visit for Thrush,categorical,[1 Yes],urogenital_system,17,17
BiB_ALL_IN.allin24_qs.all24b3atum,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3atum,Visit for tummy upset,categorical,[1 Yes],digestive_system,32,32
BiB_ALL_IN.allin24_qs.all24b3auti,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3auti,Visit for Urinary tract infection,categorical,[1 Yes],urogenital_system,17,17
BiB_ALL_IN.allin24_qs.all24b3avom,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3avom,Visit for vomiting,categorical,[1 Yes],digestive_system,93,93
BiB_ALL_IN.allin24_qs.all24b3bbpr,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bbpr,Visit for Breathing problems,categorical,[1 Yes],respiratory_system,0,0
BiB_ALL_IN.allin24_qs.all24b3bcgh,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bcgh,Visit for Cough,categorical,[1 Yes],infections,0,0
BiB_ALL_IN.allin24_qs.all24b3bcif,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bcif,Visit for Chest infection,categorical,[1 Yes],respiratory_system,0,0
BiB_ALL_IN.allin24_qs.all24b3bcon,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bcon,Visit for constipation,categorical,[1 Yes],digestive_system,0,0
BiB_ALL_IN.allin24_qs.all24b3bcry,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bcry,Visit for crying,categorical,[1 Yes],general_health,0,0
BiB_ALL_IN.allin24_qs.all24b3bdir,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bdir,Visit for diarrhoea,integer,,digestive_system,2067,2067
BiB_ALL_IN.allin24_qs.all24b3bepr,BiB_ALL_IN.allin24_qs,BiB_ALL_IN,allin24_qs,all24b3bepr,Visit for Ear problems,categorical,[1 Yes],hearing_vision_speech,0,0
