variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Baseline.base_f_survey.BiBPersonID,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,BiBPersonID,,text,,,3387,3287
BiB_Baseline.base_f_survey.BiBPregNumber,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,BiBPregNumber,Cohort recruited pregnancy number,integer,,administration,3387,3287
BiB_Baseline.base_f_survey.has_base_f_survey,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,has_base_f_survey,Has father baseline survey,integer,,administration,3387,3287
BiB_Baseline.base_f_survey.agefm_fbqall,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,agefm_fbqall,Father age (months): Father baseline questionnaire,integer,,age,3387,3287
BiB_Baseline.base_f_survey.agefy_fbqall,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,agefy_fbqall,Father age (years): Father baseline questionnaire,integer,,age,3387,3287
BiB_Baseline.base_f_survey.fbqageeduc,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqageeduc,Age completed education,categorical,[1 16 or under] [2 17-19] [3 20 or over],education,3197,3110
BiB_Baseline.base_f_survey.fbqageuk,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqageuk,Age moved to the UK,float,,location,997,976
BiB_Baseline.base_f_survey.fbqalcohol,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqalcohol,Do you drink alcohol,categorical,[1 Yes] [2 No],alcohol_consumption,3260,3169
BiB_Baseline.base_f_survey.fbqalcoholamt,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqalcoholamt,Weekly average no. of units,integer,,alcohol_consumption,1561,1525
BiB_Baseline.base_f_survey.fbqbiosample,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqbiosample,Was a biological sample taken,categorical,[1 Yes] [2 No],administration,3001,2921
BiB_Baseline.base_f_survey.fbqcountrybirth,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqcountrybirth,Country born,categorical,[1 United Kingdom] [2 Pakistan] [3 Other],place_of_birth,3197,3108
BiB_Baseline.base_f_survey.fbqcountrybirthother,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqcountrybirthother,Country of birth if other,text,,place_of_birth,3387,3287
BiB_Baseline.base_f_survey.fbqethnicgrp,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqethnicgrp,Ethnic group,categorical,[1 White] [2 Mixed] [3 Black/Black British] [4 Asian/Asian British] [5 Chinese] [6 Other],ethnic_group,3253,3163
BiB_Baseline.base_f_survey.fbqethnicgrpother,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqethnicgrpother,Ethnic group if other,text,,ethnic_group,3387,3287
BiB_Baseline.base_f_survey.fbqheight,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqheight,Father's height (cm),float,,anthropometry,2928,2853
BiB_Baseline.base_f_survey.fbqjobtitle,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqjobtitle,Job title,text,,occupation_employment,3387,3287
BiB_Baseline.base_f_survey.fbqobstime,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqobstime,How did date of completion relate to point of mother's pregnancy?,categorical,[1 Scan 1 - dating scan] [2 Scan 2 - 20 wk scan] [3 GTT] [4 Delivery] [5 Post natal ward] [6 Other],administration,3293,3198
BiB_Baseline.base_f_survey.fbqobstimeother,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqobstimeother,Specify other time point in mother's pregnancy,text,,administration,3387,3287
BiB_Baseline.base_f_survey.fbqquestadmin,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqquestadmin,Questionnaire administered independently or assisted,categorical,[1 Independently] [2 Assisted],administration,3176,3082
BiB_Baseline.base_f_survey.fbqquestlang,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqquestlang,Language used to complete questionnaire,categorical,[1 English] [2 Mirpuri/Punjabi] [3 Urdu],languages_spoken,3281,3184
BiB_Baseline.base_f_survey.fbqselfemployed,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqselfemployed,Are/were you self-employed,categorical,[1 Yes] [2 No],occupation_employment,3082,3004
BiB_Baseline.base_f_survey.fbqsmokes,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqsmokes,Do you smoke cigarettes nowadays,categorical,[1 Yes] [2 No],smoking,3266,3176
BiB_Baseline.base_f_survey.fbqsmokesamt,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqsmokesamt,How many cigarettes per day,categorical,[1 Less than 1 a day] [2 1-5] [3 6-10] [4 11-20] [5 Over 20] [6 Don't know],smoking,1070,1047
BiB_Baseline.base_f_survey.fbqweight,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqweight,Father's weight (kg),float,,anthropometry,2946,2872
BiB_Baseline.base_f_survey.fbqworkforce,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqworkforce,No. people work at your place of work,categorical,[1 1-2] [2 3-24] [3 25-499] [4 500+],occupation_employment,3024,2941
BiB_Baseline.base_f_survey.fbqworklevel,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,fbqworklevel,Level worked at,categorical,[1 Manager] [2 Supervisor] [3 Other employee],occupation_employment,2992,2912
BiB_Baseline.base_f_survey.has_fbqall,BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,has_fbqall,Has: Father baseline questionnaire,categorical,[1 has],administration,3387,3287
