project,table,variable
BiB_Baseline,base_f_survey,BiBPersonID
BiB_Baseline,base_f_survey,BiBPregNumber
BiB_Baseline,base_f_survey,has_base_f_survey
BiB_Baseline,base_f_survey,agefm_fbqall
BiB_Baseline,base_f_survey,agefy_fbqall
BiB_Baseline,base_f_survey,fbqageeduc
BiB_Baseline,base_f_survey,fbqageuk
BiB_Baseline,base_f_survey,fbqalcohol
BiB_Baseline,base_f_survey,fbqalcoholamt
BiB_Baseline,base_f_survey,fbqbiosample
BiB_Baseline,base_f_survey,fbqcountrybirth
BiB_Baseline,base_f_survey,fbqcountrybirthother
BiB_Baseline,base_f_survey,fbqethnicgrp
BiB_Baseline,base_f_survey,fbqethnicgrpother
BiB_Baseline,base_f_survey,fbqheight
BiB_Baseline,base_f_survey,fbqjobtitle
BiB_Baseline,base_f_survey,fbqobstime
BiB_Baseline,base_f_survey,fbqobstimeother
BiB_Baseline,base_f_survey,fbqquestadmin
BiB_Baseline,base_f_survey,fbqquestlang
BiB_Baseline,base_f_survey,fbqselfemployed
BiB_Baseline,base_f_survey,fbqsmokes
BiB_Baseline,base_f_survey,fbqsmokesamt
BiB_Baseline,base_f_survey,fbqweight
BiB_Baseline,base_f_survey,fbqworkforce
BiB_Baseline,base_f_survey,fbqworklevel
BiB_Baseline,base_f_survey,has_fbqall
