project,table,variable
BiB_Baseline,base_m12_cookingmethods,PregnancyID
BiB_Baseline,base_m12_cookingmethods,BiBPregNumber
BiB_Baseline,base_m12_cookingmethods,BiBPersonID
BiB_Baseline,base_m12_cookingmethods,version
BiB_Baseline,base_m12_cookingmethods,ckmbefstk
BiB_Baseline,base_m12_cookingmethods,ckmbefwel
BiB_Baseline,base_m12_cookingmethods,ckmbeburg
BiB_Baseline,base_m12_cookingmethods,ckmbebwel
BiB_Baseline,base_m12_cookingmethods,ckmprkstk
BiB_Baseline,base_m12_cookingmethods,ckmprkwel
BiB_Baseline,base_m12_cookingmethods,ckmlambst
BiB_Baseline,base_m12_cookingmethods,ckmlamwel
BiB_Baseline,base_m12_cookingmethods,ckmchknst
BiB_Baseline,base_m12_cookingmethods,ckmchkwel
BiB_Baseline,base_m12_cookingmethods,ckmmtsaus
BiB_Baseline,base_m12_cookingmethods,ckmsaswel
BiB_Baseline,base_m12_cookingmethods,ckmbaconr
BiB_Baseline,base_m12_cookingmethods,ckmbacwel
BiB_Baseline,base_m12_cookingmethods,ckmwhtfsh
BiB_Baseline,base_m12_cookingmethods,ckmfshwel
BiB_Baseline,base_m12_cookingmethods,ckmfshoil
BiB_Baseline,base_m12_cookingmethods,ckmfshowd
