project,table,variable
BiB_Baseline,base_m1_consumptionoffats,PregnancyID
BiB_Baseline,base_m1_consumptionoffats,BiBPregNumber
BiB_Baseline,base_m1_consumptionoffats,BiBPersonID
BiB_Baseline,base_m1_consumptionoffats,version
BiB_Baseline,base_m1_consumptionoffats,fat1fspbrd
BiB_Baseline,base_m1_consumptionoffats,fat1fsbtgh
BiB_Baseline,base_m1_consumptionoffats,fat1fsplum
BiB_Baseline,base_m1_consumptionoffats,fat1fsbutm
BiB_Baseline,base_m1_consumptionoffats,fat1fsmolv
BiB_Baseline,base_m1_consumptionoffats,fat1fslowf
BiB_Baseline,base_m1_consumptionoffats,fat1fscred
BiB_Baseline,base_m1_consumptionoffats,fat1fspveh
BiB_Baseline,base_m1_consumptionoffats,fat1ckbutt
BiB_Baseline,base_m1_consumptionoffats,fat1ckghee
BiB_Baseline,base_m1_consumptionoffats,fat1cklard
BiB_Baseline,base_m1_consumptionoffats,fat1ckvoil
BiB_Baseline,base_m1_consumptionoffats,fat1ckswvf
BiB_Baseline,base_m1_consumptionoffats,fat1ckmarg
BiB_Baseline,base_m1_consumptionoffats,fat1cknone
BiB_Baseline,base_m1_consumptionoffats,fat1ckothr
BiB_Baseline,base_m1_consumptionoffats,fat1vmtype
BiB_Baseline,base_m1_consumptionoffats,fat1vmothr
