variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Baseline.base_m1_foodfrequency.id,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,id,,text,,,1776,1776
BiB_Baseline.base_m1_foodfrequency.BiBPregNumber,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,BiBPregNumber,Pregnancy number within BiB,integer,,,1776,1776
BiB_Baseline.base_m1_foodfrequency.ffq1Vegetarian,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1Vegetarian,Are you a vegetarian?,categorical,[0 No] [1 Yes] [2 Not Completed],diet_and_nutrition,1774,1774
BiB_Baseline.base_m1_foodfrequency.ffq1AvoidFoods,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1AvoidFoods,Consistenly avoided eating certain foods over past 1yr?,categorical,[0 No] [1 High fat foods] [2 Milk or milk products] [3 Red meat] [4 Wheat or gluten] [5 Other],diet_and_nutrition,1751,1751
BiB_Baseline.base_m1_foodfrequency.ffq1AvoidFoodsOther,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1AvoidFoodsOther,Which other foods have you avoided eating?,text,,diet_and_nutrition,1776,1776
BiB_Baseline.base_m1_foodfrequency.ffq1Fruit,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1Fruit,Consumed fruit in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a day] [4 4-6 times a week] [5 5+ a day] [6 Less than 1 a week] [7 Once a week] [8 Rarely or never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1Salad,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1Salad,Consumed salad in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a day] [4 4-6 times a week] [5 5+ a day] [6 Less than 1 a week] [7 Once a week] [8 Rarely or never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1Vegetables,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1Vegetables,Consumed vegetables in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a day] [4 4-6 times a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1VegDishes,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1VegDishes,Consumed veg dishes in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1BeanPulse,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1BeanPulse,Consumed beans/pulses in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1Chips,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1Chips,Consumed chips in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a week] [4 4-6 times a week] [5 Less than 1 a week] [6 Once a week] [7 Rarely or Never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1RFPotatoes,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1RFPotatoes,Consumed roast/fried potatoes in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,157,157
BiB_Baseline.base_m1_foodfrequency.ffq1OthPotatoes,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1OthPotatoes,Consumed other potatoes in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a week] [4 4-6 times a week] [5 Less than 1 a week] [6 Once a week] [7 Rarely or Never],diet_and_nutrition,157,157
BiB_Baseline.base_m1_foodfrequency.ffq1WheatCereal,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1WheatCereal,Consumed wheat cereal in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1OatCereal,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1OatCereal,Consumed oat cereal in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,157,157
BiB_Baseline.base_m1_foodfrequency.ffq1OthCereal,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1OthCereal,Consumed other cereal in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,158,158
BiB_Baseline.base_m1_foodfrequency.ffq1WholemealBrd,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1WholemealBrd,Consumed wholemeal bread in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a day] [4 4-6 times a week] [5 5+ a Day] [6 Less than 1 a week] [7 Once a week] [8 Rarely or Never],diet_and_nutrition,157,157
BiB_Baseline.base_m1_foodfrequency.ffq1WhiteBrd,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1WhiteBrd,Consumed white bread in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a day] [4 4-6 times a week] [5 Less than 1 a week] [6 Once a week] [7 Rarely or Never],diet_and_nutrition,156,156
BiB_Baseline.base_m1_foodfrequency.ffq1CrispBrd,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1CrispBrd,Consumed crisp bread in last 4wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 4-6 times a week] [4 Less than 1 a week] [5 Once a week] [6 Rarely or Never],diet_and_nutrition,157,157
BiB_Baseline.base_m1_foodfrequency.ffq1BldRce,BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,ffq1BldRce,Consumed boiled rice in last 4 wks pregnancy,categorical,[1 1-2 times a week] [2 2-3 times a week] [3 3-4 times a day] [4 4-6 times a week] [5 5+ a Day] [6 Less than 1 a week] [7 Once a week] [8 Rarely or Never],diet_and_nutrition,159,159
