project,table,variable
BiB_Baseline,base_m1_foodfrequency,id
BiB_Baseline,base_m1_foodfrequency,BiBPregNumber
BiB_Baseline,base_m1_foodfrequency,ffq1Vegetarian
BiB_Baseline,base_m1_foodfrequency,ffq1AvoidFoods
BiB_Baseline,base_m1_foodfrequency,ffq1AvoidFoodsOther
BiB_Baseline,base_m1_foodfrequency,ffq1Fruit
BiB_Baseline,base_m1_foodfrequency,ffq1Salad
BiB_Baseline,base_m1_foodfrequency,ffq1Vegetables
BiB_Baseline,base_m1_foodfrequency,ffq1VegDishes
BiB_Baseline,base_m1_foodfrequency,ffq1BeanPulse
BiB_Baseline,base_m1_foodfrequency,ffq1Chips
BiB_Baseline,base_m1_foodfrequency,ffq1RFPotatoes
BiB_Baseline,base_m1_foodfrequency,ffq1OthPotatoes
BiB_Baseline,base_m1_foodfrequency,ffq1WheatCereal
BiB_Baseline,base_m1_foodfrequency,ffq1OatCereal
BiB_Baseline,base_m1_foodfrequency,ffq1OthCereal
BiB_Baseline,base_m1_foodfrequency,ffq1WholemealBrd
BiB_Baseline,base_m1_foodfrequency,ffq1WhiteBrd
BiB_Baseline,base_m1_foodfrequency,ffq1CrispBrd
BiB_Baseline,base_m1_foodfrequency,ffq1BldRce
BiB_Baseline,base_m1_foodfrequency,ffq1PstaNdls
BiB_Baseline,base_m1_foodfrequency,ffq1Savouries
BiB_Baseline,base_m1_foodfrequency,ffq1Pizza
BiB_Baseline,base_m1_foodfrequency,ffq1Cheese
BiB_Baseline,base_m1_foodfrequency,ffq1Yoghurt
BiB_Baseline,base_m1_foodfrequency,ffq1Crisp
BiB_Baseline,base_m1_foodfrequency,ffq1SvrySnk
BiB_Baseline,base_m1_foodfrequency,ffq1Cakes
BiB_Baseline,base_m1_foodfrequency,ffq1Pastries
BiB_Baseline,base_m1_foodfrequency,ffq1Chocolate
BiB_Baseline,base_m1_foodfrequency,ffq1Biscuits
BiB_Baseline,base_m1_foodfrequency,ffq1IceCream
BiB_Baseline,base_m1_foodfrequency,ffq1FizzyDrinks
BiB_Baseline,base_m1_foodfrequency,ffq1Cordial
BiB_Baseline,base_m1_foodfrequency,ffq1FruitJuice
BiB_Baseline,base_m1_foodfrequency,ffq1Beef
BiB_Baseline,base_m1_foodfrequency,ffq1Pork
BiB_Baseline,base_m1_foodfrequency,ffq1Lamb
BiB_Baseline,base_m1_foodfrequency,ffq1ChcknTrky
BiB_Baseline,base_m1_foodfrequency,ffq1Sausages
BiB_Baseline,base_m1_foodfrequency,ffq1Burgers
BiB_Baseline,base_m1_foodfrequency,ffq1HotDog
BiB_Baseline,base_m1_foodfrequency,ffq1Bacon
BiB_Baseline,base_m1_foodfrequency,ffq1Pies
BiB_Baseline,base_m1_foodfrequency,ffq1Nuggets
BiB_Baseline,base_m1_foodfrequency,ffq1Ham
BiB_Baseline,base_m1_foodfrequency,ffq1CuredSsg
BiB_Baseline,base_m1_foodfrequency,ffq1ChknSauce
BiB_Baseline,base_m1_foodfrequency,ffq1BfLmbSauce
BiB_Baseline,base_m1_foodfrequency,ffq1PrkSauce
BiB_Baseline,base_m1_foodfrequency,ffq1Gravy
BiB_Baseline,base_m1_foodfrequency,ffq1BatteredFish
BiB_Baseline,base_m1_foodfrequency,ffq1WhiteFish
BiB_Baseline,base_m1_foodfrequency,ffq1Tuna
BiB_Baseline,base_m1_foodfrequency,ffq1FreshFish
BiB_Baseline,base_m1_foodfrequency,ffq1SmokedFish
BiB_Baseline,base_m1_foodfrequency,ffq1SltdFish
BiB_Baseline,base_m1_foodfrequency,ffq1Egg
BiB_Baseline,base_m1_foodfrequency,ffq1Quiche
BiB_Baseline,base_m1_foodfrequency,ffq1EggCurry
BiB_Baseline,base_m1_foodfrequency,ffq1ChickenSkin
BiB_Baseline,base_m1_foodfrequency,ffq1CkBeef
BiB_Baseline,base_m1_foodfrequency,ffq1CkBeefwd
BiB_Baseline,base_m1_foodfrequency,ffq1CkPork
BiB_Baseline,base_m1_foodfrequency,ffq1CkPorkwd
BiB_Baseline,base_m1_foodfrequency,ffq1CkLamb
BiB_Baseline,base_m1_foodfrequency,ffq1CkLambwd
BiB_Baseline,base_m1_foodfrequency,ffq1CkChicken
BiB_Baseline,base_m1_foodfrequency,ffq1CkChickenwd
BiB_Baseline,base_m1_foodfrequency,ffq1CkSausage
BiB_Baseline,base_m1_foodfrequency,ffq1CkSausagewd
