project,table,variable
BiB_Baseline,base_m1_survey,BiBPersonID
BiB_Baseline,base_m1_survey,BiBPregNumber
BiB_Baseline,base_m1_survey,has_base_m1_survey
BiB_Baseline,base_m1_survey,fam1famacc
BiB_Baseline,base_m1_survey,fam1famhap
BiB_Baseline,base_m1_survey,fam1famimp
BiB_Baseline,base_m1_survey,fam1famlov
BiB_Baseline,base_m1_survey,fam1famrel
BiB_Baseline,base_m1_survey,fam1famsup
BiB_Baseline,base_m1_survey,fam1famtak
BiB_Baseline,base_m1_survey,fam1helpfl
BiB_Baseline,base_m1_survey,fam1leisur
BiB_Baseline,base_m1_survey,fam1livenj
BiB_Baseline,base_m1_survey,fam1loctrn
BiB_Baseline,base_m1_survey,fam1neighbo
BiB_Baseline,base_m1_survey,fam1pefair
BiB_Baseline,base_m1_survey,fam1postrn
BiB_Baseline,base_m1_survey,fam1prbvan
BiB_Baseline,base_m1_survey,fam1suptrn
BiB_Baseline,base_m1_survey,fam1tenstr
BiB_Baseline,base_m1_survey,fam1truste
BiB_Baseline,base_m1_survey,has_mbqph1
