variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Baseline.base_m23_survey.BiBPersonID,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,BiBPersonID,,text,,,9619,9096
BiB_Baseline.base_m23_survey.BiBPregNumber,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,BiBPregNumber,Cohort recruited pregnancy number,integer,,administration,9619,9096
BiB_Baseline.base_m23_survey.has_base_m23_survey,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,has_base_m23_survey,Has mother baseline survey (phases 2 & 3),integer,,administration,9619,9096
BiB_Baseline.base_m23_survey.has_mbqp23,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,has_mbqp23,Has baseline questionnaire phase 2 or 3,categorical,[1 has],administration,9619,9096
BiB_Baseline.base_m23_survey.org2ffabirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2ffabirgrp,Woman Cohort Members Partners Father: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2fmubirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2fmubirgrp,Woman Cohort Members Partners Mother: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2fthbirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2fthbirgrp,Woman Cohort Members Partner (father to child): Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2mfabirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2mfabirgrp,Woman Cohort Members Father: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2mgfbirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2mgfbirgrp,Woman Cohort Members Maternal Grandfather: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2mgmbirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2mgmbirgrp,Woman Cohort Members Maternal Grandmother: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2mmubirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2mmubirgrp,Woman Cohort Members Mother: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2mumbirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2mumbirgrp,Woman Cohort Member: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2pgfbirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2pgfbirgrp,Woman Cohort Members Paternal Grandfather: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
BiB_Baseline.base_m23_survey.org2pgmbirgrp,BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,org2pgmbirgrp,Woman Cohort Members Paternal Grandmother: Biraderi,categorical,[1 Missing] [2 Jatt] [3 Pathan] [4 Don't know] [5 Rajput] [6 Choudhry] [7 Bains] [8 Kashmiri] [9 Mughal] [10 Syed] [11 Malik] [12 Gujjar] [13 Qureshi] [14 Awaan] [15 Sheikh] [16 Qasabi] [17 Other] [18 Bains Rajput],family_and_social_networks,4629,4327
