variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Baseline.base_m_survey.BiBPersonID,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,BiBPersonID,,text,,,11395,10519
BiB_Baseline.base_m_survey.BiBPregNumber,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,BiBPregNumber,,integer,,administration,11395,10519
BiB_Baseline.base_m_survey.has_base_m_survey,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,has_base_m_survey,Has mother baseline survey,integer,,administration,11395,10519
BiB_Baseline.base_m_survey.agemm_mbqall,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,agemm_mbqall,Mother age (months): Maternal Baseline Questionnaire,integer,,age,11395,10519
BiB_Baseline.base_m_survey.agemy_mbqall,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,agemy_mbqall,Mother age (years): Maternal Baseline Questionnaire,integer,,age,11395,10519
BiB_Baseline.base_m_survey.alc03mb4dr,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc03mb4dr,Don't remember average/max units drank per week in 3 months before pregnancy,categorical,[1 Don't remember not specified] [2 Don't remember average units per week] [3 Don't remember max units],alcohol_consumption,79,79
BiB_Baseline.base_m_survey.alc04thmdr,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc04thmdr,Don't remember maximum units drank at one time since 4th month of pregnancy,categorical,[1 Don't remember not specified] [2 Don't remember average units per week] [3 Don't remember max units],alcohol_consumption,4,4
BiB_Baseline.base_m_survey.alc05u3mb4,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc05u3mb4,Frequency of 5 or more units of alcohol consumed in 3 months before pregnancy,categorical,[1 Everyday] [2 Nearly everyday] [3 1-4 times/week] [4 1-3 times a month] [5 Rarely] [6 Never],alcohol_consumption,3374,3212
BiB_Baseline.base_m_survey.alc05u4thm,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc05u4thm,Frequency of 5 or more units of alcohol consumed since 4th month of pregnancy,categorical,[1 Everyday] [2 Nearly everyday] [3 1-4 times/week] [4 1-3 times a month] [5 Rarely] [6 Never],alcohol_consumption,1306,1260
BiB_Baseline.base_m_survey.alc05ufr3m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc05ufr3m,Frequency of 5 or more units of alcohol consumed in first 3 months of pregnancy,categorical,[1 Everyday] [2 Nearly everyday] [3 1-4 times/week] [4 1-3 times a month] [5 Rarely] [6 Never],alcohol_consumption,1700,1655
BiB_Baseline.base_m_survey.alc0brav3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0brav3b,Average units of beer per week in 3 months before pregnancy,integer,,alcohol_consumption,959,933
BiB_Baseline.base_m_survey.alc0brav4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0brav4m,Average units of beer per week since 4th month of pregnancy,integer,,alcohol_consumption,136,135
BiB_Baseline.base_m_survey.alc0bravf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0bravf3,Average units of beer per week in first 3 months of pregnancy,integer,,alcohol_consumption,308,302
BiB_Baseline.base_m_survey.alc0brmx3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0brmx3b,Maximum units of beer at one time in 3 months before pregnancy,integer,,alcohol_consumption,943,918
BiB_Baseline.base_m_survey.alc0brmx4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0brmx4m,Maximum units of beer at one time since 4th month of pregnancy,integer,,alcohol_consumption,80,80
BiB_Baseline.base_m_survey.alc0brmxf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0brmxf3,Maximum units of beer at one time in first 3 months of pregnancy,integer,,alcohol_consumption,310,304
BiB_Baseline.base_m_survey.alc0dr3mb4,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0dr3mb4,Mother drank alcohol 3 months before pregnancy,categorical,"[1 Yes, once a week] [2 Yes, occasionally] [3 Yes, not specified] [4 No] [5 Don't remember]",alcohol_consumption,3472,3301
BiB_Baseline.base_m_survey.alc0dr4thm,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0dr4thm,Mother drank alcohol since 4th month of pregnancy,categorical,"[1 Yes, once a week] [2 Yes, occasionally] [3 Yes, not specified] [4 No] [5 Don't remember]",alcohol_consumption,3441,3273
BiB_Baseline.base_m_survey.alc0drfr3m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0drfr3m,Mother drank alcohol in the first 3 months of pregnancy,categorical,"[1 Yes, once a week] [2 Yes, occasionally] [3 Yes, not specified] [4 No] [5 Don't remember]",alcohol_consumption,3480,3310
BiB_Baseline.base_m_survey.alc0drpreg,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0drpreg,Mother drank alcohol during pregnancy or 3 months before,categorical,[1 Yes] [2 No] [3 Don't remember],alcohol_consumption,11369,10497
BiB_Baseline.base_m_survey.alc0fr3mdr,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0fr3mdr,Don't remember maximum units drank at one time in first 3 months of pregnancy,categorical,[1 Don't remember not specified] [2 Don't remember average units per week] [3 Don't remember max units],alcohol_consumption,39,39
BiB_Baseline.base_m_survey.alc0oaav3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0oaav3b,Average units of other alcohol per week in 3 months before pregnancy,integer,,alcohol_consumption,613,607
BiB_Baseline.base_m_survey.alc0oaav4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0oaav4m,Average units of other alcohol per week since 4th month of pregnancy,integer,,alcohol_consumption,36,36
BiB_Baseline.base_m_survey.alc0oaavf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0oaavf3,Average units of other alcohol per week in first 3 months of pregnancy,integer,,alcohol_consumption,186,184
BiB_Baseline.base_m_survey.alc0oamx3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0oamx3b,Maximum units of other alcohol at one time in 3 months before pregnancy,integer,,alcohol_consumption,608,602
BiB_Baseline.base_m_survey.alc0oamx4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0oamx4m,Maximum units of other alcohol at one time since 4th month of pregnancy,integer,,alcohol_consumption,38,38
BiB_Baseline.base_m_survey.alc0oamxf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0oamxf3,Maximum units of other alcohol at one time in first 3 months of pregnancy,integer,,alcohol_consumption,185,183
BiB_Baseline.base_m_survey.alc0spav3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0spav3b,Average units of spirits per week in 3 months before pregnancy,integer,,alcohol_consumption,841,830
BiB_Baseline.base_m_survey.alc0spav4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0spav4m,Average units of spirits per week since 4th month of pregnancy,integer,,alcohol_consumption,40,40
BiB_Baseline.base_m_survey.alc0spavf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0spavf3,Average units of spirits per week in first 3 months of pregnancy,integer,,alcohol_consumption,268,267
BiB_Baseline.base_m_survey.alc0spmx3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0spmx3b,Maximum units of spirits at one time in the 3 months before pregnancy,integer,,alcohol_consumption,833,822
BiB_Baseline.base_m_survey.alc0spmx4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0spmx4m,Maximum units of spirits at one time since 4th month of pregnancy,integer,,alcohol_consumption,43,43
BiB_Baseline.base_m_survey.alc0spmxf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0spmxf3,Maximum units of spirits at one time in first 3 months of pregnancy,integer,,alcohol_consumption,263,262
BiB_Baseline.base_m_survey.alc0wnav3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0wnav3b,Average units of wine per week in 3 months before pregnancy,integer,,alcohol_consumption,1170,1132
BiB_Baseline.base_m_survey.alc0wnav4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0wnav4m,Average units of wine per week since 4th month of pregnancy,integer,,alcohol_consumption,97,97
BiB_Baseline.base_m_survey.alc0wnavf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0wnavf3,Average units of wine per week in first 3 months of pregnancy,integer,,alcohol_consumption,381,379
BiB_Baseline.base_m_survey.alc0wnmx3b,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0wnmx3b,Maximum units of wine at one time in 3 months before pregnancy,integer,,alcohol_consumption,1150,1114
BiB_Baseline.base_m_survey.alc0wnmx4m,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0wnmx4m,Maximum units of wine at one time since 4th month of pregnancy,integer,,alcohol_consumption,96,96
BiB_Baseline.base_m_survey.alc0wnmxf3,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,alc0wnmxf3,Maximum units of wine at one time in first 3 months of pregnancy,integer,,alcohol_consumption,372,370
BiB_Baseline.base_m_survey.ben0carall,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0carall,Carer's allowance,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0chdben,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0chdben,Child benefit,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0chdtxc,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0chdtxc,Child Tax credit,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0disbla,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0disbla,Disability living allowance,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0dnwtoa,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0dnwtoa,Does not wish to answer,categorical,[1 Yes] [2 No],benefits_welfare,11357,10492
BiB_Baseline.base_m_survey.ben0dontkw,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0dontkw,Don't know,categorical,[1 Yes] [2 No],benefits_welfare,11357,10492
BiB_Baseline.base_m_survey.ben0houseb,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0houseb,Housing benefit,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0incapb,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0incapb,Incapacity benefit,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0incsup,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0incsup,Income support,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0intjsa,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0intjsa,Income tested job seekers allowance,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0mentst,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0mentst,Means tested benefits received,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0nobenf,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0nobenf,None,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0othbnm,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0othbnm,Other benefits received,text,,benefits_welfare,11395,10519
BiB_Baseline.base_m_survey.ben0otherb,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0otherb,Other benefits,categorical,[1 Yes] [2 No],benefits_welfare,11357,10492
BiB_Baseline.base_m_survey.ben0pencrd,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0pencrd,Pension credit,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.ben0wrktxc,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,ben0wrktxc,Working Tax credit,categorical,[1 Yes] [2 No],benefits_welfare,11356,10492
BiB_Baseline.base_m_survey.brd0brolls,BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,brd0brolls,Baps/rolls eaten per week,integer,,diet_and_nutrition,7758,7347
