project,table,variable
BiB_Biosamples,hosp_biochem,BiBMotherID
BiB_Biosamples,hosp_biochem,BiBPregNumber
BiB_Biosamples,hosp_biochem,MotherAgeSample_Mths
BiB_Biosamples,hosp_biochem,MotherAgeSample_Yrs
BiB_Biosamples,hosp_biochem,GestAgeSample_Days
BiB_Biosamples,hosp_biochem,DateBloodTest
BiB_Biosamples,hosp_biochem,CRP
BiB_Biosamples,hosp_biochem,Sodium
BiB_Biosamples,hosp_biochem,K1
BiB_Biosamples,hosp_biochem,Urea
BiB_Biosamples,hosp_biochem,CRE1
BiB_Biosamples,hosp_biochem,Amylase
BiB_Biosamples,hosp_biochem,ALT
BiB_Biosamples,hosp_biochem,BIL1
BiB_Biosamples,hosp_biochem,ALP1
BiB_Biosamples,hosp_biochem,GGT1
BiB_Biosamples,hosp_biochem,TP1
BiB_Biosamples,hosp_biochem,Albumin
BiB_Biosamples,hosp_biochem,Caadj
