project,table,variable
BiB_Biosamples,pregnancy_bloods_vitd,BiBPersonID
BiB_Biosamples,pregnancy_bloods_vitd,BiBPregNumber
BiB_Biosamples,pregnancy_bloods_vitd,has_pregnancy_bloods_vitd
BiB_Biosamples,pregnancy_bloods_vitd,agemm_matbvd
BiB_Biosamples,pregnancy_bloods_vitd,agemy_matbvd
BiB_Biosamples,pregnancy_bloods_vitd,has_matbvd
BiB_Biosamples,pregnancy_bloods_vitd,mbldalbumin
BiB_Biosamples,pregnancy_bloods_vitd,mbldcalcium
BiB_Biosamples,pregnancy_bloods_vitd,mbldpth_str
BiB_Biosamples,pregnancy_bloods_vitd,mbldvitd2_str
BiB_Biosamples,pregnancy_bloods_vitd,mbldvitd3_str
