project,table,variable
BiB_Biosamples,hosp_biochem,BiBMotherID
BiB_Biosamples,hosp_biochem,BiBPregNumber
BiB_Biosamples,hosp_biochem,MotherAgeSample_Mths
BiB_Biosamples,hosp_biochem,MotherAgeSample_Yrs
BiB_Biosamples,hosp_biochem,GestAgeSample_Days
BiB_Biosamples,hosp_biochem,DateBloodTest
BiB_Biosamples,hosp_biochem,CRP
BiB_Biosamples,hosp_biochem,Sodium
BiB_Biosamples,hosp_biochem,K1
BiB_Biosamples,hosp_biochem,Urea
BiB_Biosamples,hosp_biochem,CRE1
BiB_Biosamples,hosp_biochem,Amylase
BiB_Biosamples,hosp_biochem,ALT
BiB_Biosamples,hosp_biochem,BIL1
BiB_Biosamples,hosp_biochem,ALP1
BiB_Biosamples,hosp_biochem,GGT1
BiB_Biosamples,hosp_biochem,TP1
BiB_Biosamples,hosp_biochem,Albumin
BiB_Biosamples,hosp_biochem,Caadj
BiB_Biosamples,hosp_haem,BiBMotherID
BiB_Biosamples,hosp_haem,BiBPregNumber
BiB_Biosamples,hosp_haem,MotherAgeSample_Mths
BiB_Biosamples,hosp_haem,MotherAgeSample_Yrs
BiB_Biosamples,hosp_haem,GestAgeSample_Days
BiB_Biosamples,hosp_haem,DateBloodTest
BiB_Biosamples,hosp_haem,Hb
BiB_Biosamples,hosp_haem,WBC
BiB_Biosamples,hosp_haem,PLTS
BiB_Biosamples,hosp_haem,MCV
BiB_Biosamples,hosp_haem,PCV
BiB_Biosamples,hosp_haem,RBC
BiB_Biosamples,hosp_haem,MCH
BiB_Biosamples,hosp_haem,MCHC
BiB_Biosamples,hosp_haem,NEU
BiB_Biosamples,hosp_haem,LYM
BiB_Biosamples,hosp_haem,MON
BiB_Biosamples,hosp_haem,EOS
BiB_Biosamples,hosp_haem,BAS
BiB_Biosamples,hosp_hba1c,BiBMotherID
BiB_Biosamples,hosp_hba1c,BiBPregNumber
BiB_Biosamples,hosp_hba1c,MotherAgeSample_Mths
BiB_Biosamples,hosp_hba1c,MotherAgeSample_Yrs
BiB_Biosamples,hosp_hba1c,GestAgeSample_Days
BiB_Biosamples,hosp_hba1c,DateBloodTest
BiB_Biosamples,hosp_hba1c,HbA1c
BiB_Biosamples,pregnancy_bloods,BiBPersonID
BiB_Biosamples,pregnancy_bloods,BiBPregNumber
BiB_Biosamples,pregnancy_bloods,has_pregnancy_bloods
BiB_Biosamples,pregnancy_bloods,agemm_matbld
BiB_Biosamples,pregnancy_bloods,agemy_matbld
BiB_Biosamples,pregnancy_bloods,has_matbld
BiB_Biosamples,pregnancy_bloods,mbldchdlr1
BiB_Biosamples,pregnancy_bloods,mbldchol
BiB_Biosamples,pregnancy_bloods,mbldhdl1
BiB_Biosamples,pregnancy_bloods,mbldinsulin_str
BiB_Biosamples,pregnancy_bloods,mbldldl1
BiB_Biosamples,pregnancy_bloods,mbldtrigs
BiB_Biosamples,pregnancy_bloods_vitd,BiBPersonID
BiB_Biosamples,pregnancy_bloods_vitd,BiBPregNumber
BiB_Biosamples,pregnancy_bloods_vitd,has_pregnancy_bloods_vitd
BiB_Biosamples,pregnancy_bloods_vitd,agemm_matbvd
BiB_Biosamples,pregnancy_bloods_vitd,agemy_matbvd
BiB_Biosamples,pregnancy_bloods_vitd,has_matbvd
BiB_Biosamples,pregnancy_bloods_vitd,mbldalbumin
BiB_Biosamples,pregnancy_bloods_vitd,mbldcalcium
BiB_Biosamples,pregnancy_bloods_vitd,mbldpth_str
BiB_Biosamples,pregnancy_bloods_vitd,mbldvitd2_str
BiB_Biosamples,pregnancy_bloods_vitd,mbldvitd3_str
BiB_Biosamples,pregnancy_gtt,BiBPersonID
BiB_Biosamples,pregnancy_gtt,BiBPregNumber
BiB_Biosamples,pregnancy_gtt,has_pregnancy_gtt
BiB_Biosamples,pregnancy_gtt,agemm_mbagtt
BiB_Biosamples,pregnancy_gtt,agemy_mbagtt
BiB_Biosamples,pregnancy_gtt,gttfastglu
BiB_Biosamples,pregnancy_gtt,gttgestwks
BiB_Biosamples,pregnancy_gtt,gttpostglu
BiB_Biosamples,pregnancy_gtt,has_mbagtt
BiB_Biosamples,blood_tests,BiBPersonID
BiB_Biosamples,blood_tests,TestDate
BiB_Biosamples,blood_tests,TotalTests
BiB_Biosamples,blood_tests,TestDateOrder
BiB_Biosamples,blood_tests,AgeInYears
BiB_Biosamples,blood_tests,AgeInMonths
BiB_Biosamples,blood_tests,hb
BiB_Biosamples,blood_tests,wbc
BiB_Biosamples,blood_tests,platelets
BiB_Biosamples,blood_tests,mcv
BiB_Biosamples,blood_tests,hba1c
BiB_Biosamples,blood_tests,triglycerides
BiB_Biosamples,blood_tests,cholesterol
BiB_Biosamples,blood_tests,hdl
BiB_Biosamples,blood_tests,ldl
BiB_Biosamples,blood_tests,cholhdl_ratio
BiB_Biosamples,blood_tests,nonhdlchol
BiB_Biosamples,cord_bloods,BiBPersonID
BiB_Biosamples,cord_bloods,has_cord_bloods
BiB_Biosamples,cord_bloods,cbldadiponectin
BiB_Biosamples,cord_bloods,cbldbatch
BiB_Biosamples,cord_bloods,cbldchol
BiB_Biosamples,cord_bloods,cbldcrp
BiB_Biosamples,cord_bloods,cbldcrp_miss
BiB_Biosamples,cord_bloods,cbldhdl
BiB_Biosamples,cord_bloods,cbldinsulin
BiB_Biosamples,cord_bloods,cbldinsulin_miss
BiB_Biosamples,cord_bloods,cbldldl
BiB_Biosamples,cord_bloods,cbldleptin
BiB_Biosamples,cord_bloods,cbldleptin_miss
BiB_Biosamples,cord_bloods,cbldtrig
BiB_Biosamples,cord_bloods,cbldvldl
BiB_Biosamples,cord_bloods,has_crdbld
BiB_Biosamples,covid_antibody_blood_tests,BiBPersonID
BiB_Biosamples,covid_antibody_blood_tests,covidtestdate
BiB_Biosamples,covid_antibody_blood_tests,ABresult
BiB_Biosamples,maternal_iodine,BiBPregNumber
BiB_Biosamples,maternal_iodine,BiBMotherID
BiB_Biosamples,maternal_iodine,AliquotID
BiB_Biosamples,maternal_iodine,ShippingDate
BiB_Biosamples,maternal_iodine,ArrivalDate
BiB_Biosamples,maternal_iodine,BatchNumber
BiB_Biosamples,maternal_iodine,BoxNumber
BiB_Biosamples,maternal_iodine,IodineAnalysisDate
BiB_Biosamples,maternal_iodine,IodineConcentration
BiB_Biosamples,maternal_iodine,CreatinineAnalysisDate
BiB_Biosamples,maternal_iodine,CreRunNumber
BiB_Biosamples,maternal_iodine,CreatinineConcentration
BiB_Biosamples,maternal_iodine,ICrRatio
BiB_Biosamples,renal_blood_tests,BiBPersonID
BiB_Biosamples,renal_blood_tests,TestDate
BiB_Biosamples,renal_blood_tests,TotalTests
BiB_Biosamples,renal_blood_tests,TestDateOrder
BiB_Biosamples,renal_blood_tests,AgeInYears
BiB_Biosamples,renal_blood_tests,AgeInMonths
BiB_Biosamples,renal_blood_tests,sodium
BiB_Biosamples,renal_blood_tests,potassium
BiB_Biosamples,renal_blood_tests,urea
BiB_Biosamples,renal_blood_tests,creatinine
BiB_Biosamples,renal_cystatinc,BiBPersonID
BiB_Biosamples,renal_cystatinc,age_in_months
BiB_Biosamples,renal_cystatinc,age_in_years
BiB_Biosamples,renal_cystatinc,cystatinc
