variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Breathes.BiBBr_Phase1.BiBBrPersonID,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,BiBBrPersonID,BiB Breathes participant identifier,text,,administration,1952,1952
BiB_Breathes.BiBBr_Phase1.BiBPersonID,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,BiBPersonID,,text,,administration,1952,1952
BiB_Breathes.BiBBr_Phase1.sex,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,sex,Sex,categorical,[0 Male] [1 Female] [2 I prefer to use my own term] [3 I prefer not to say],gender,1786,1786
BiB_Breathes.BiBBr_Phase1.age,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,age,Age,categorical,[1 <18] [2 18-24] [3 25-34] [4 35-44] [5 45-54] [6 55-64] [7 65+] [8 Prefer not to say],age,1785,1785
BiB_Breathes.BiBBr_Phase1.ethnicity5,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,ethnicity5,Ethnic group - 5 categories,categorical,[1 White] [2 Asian/Asian British] [3 Black/African/Caribbean/Black British] [4 Mixed/multiple ethnic groups] [5 Arab/Middle Eastern] [6 Prefer not to say] [7 Don't know] [8 None of the categories are applicable],ethnic_group,1779,1779
BiB_Breathes.BiBBr_Phase1.ethnicity16,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,ethnicity16,Ethnic group - 16 categories,categorical,"[1 English, Welsh, Scottish, Northern Irish or British] [2 Irish] [3 Other White background] [4 White and Black Caribbean] [5 White and Black African] [6 White and Asian] [7 Other Mixed background] [8 Indian] [9 Pakistani] [10 Bangladeshi] [11 Chinese] [12 Other Asian background] [13 African] [14 Caribbean] [15 Other Black, African or Caribbean background] [16 Other ethnic group]",ethnic_group,1737,1737
BiB_Breathes.BiBBr_Phase1.GUPersonID,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,GUPersonID,Survey Identifier,text,,administration,1952,1952
BiB_Breathes.BiBBr_Phase1.version,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,version,Questionnaire version,integer,,administration,1952,1952
BiB_Breathes.BiBBr_Phase1.date,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,date,Todays date,date,,administration,1952,1952
BiB_Breathes.BiBBr_Phase1.date_imputed,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,date_imputed,Flag for missing date imputation using mode,integer,,administration,109,109
BiB_Breathes.BiBBr_Phase1.bre1_pcd_1,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_pcd_1,If not live in Bradord do you travel there regularly for work/study/leisure?,categorical,[1 Yes] [2 No] [3 Not Applicable],travel_and_transport,1637,1637
BiB_Breathes.BiBBr_Phase1.bre1_aq_bfd,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_bfd,What do you think about the air quality in Bradford generally?,categorical,[1 Very Poor] [2 Poor] [3 Fair] [4 Good] [5 Excellent],environmental_exposure,1933,1933
BiB_Breathes.BiBBr_Phase1.bre1_aq_uk,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_uk,How do you think this compares to other parts of the UK?,categorical,[-2 Dont Know] [1 Better] [2 About the same] [3 Worse],environmental_exposure,1936,1936
BiB_Breathes.BiBBr_Phase1.bre1_aq_bfd_con,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_bfd_con,How concerned are you about air quality in Bradford?,categorical,[1 Not at all Concerned] [2 Slightly Concerned] [3 Somewhat Concerned] [4 Moderately Concerned] [5 Extremely Concerned] [6 Dont know],environmental_exposure,1936,1936
BiB_Breathes.BiBBr_Phase1.bre1_aq_oth,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_oth,Do you think other people in Bradford are concerned about air quality?,categorical,[1 Not at all Concerned] [2 Slightly Concerned] [3 Somewhat Concerned] [4 Moderately Concerned] [5 Extremely Concerned] [6 Dont know],environmental_exposure,1935,1935
BiB_Breathes.BiBBr_Phase1.bre1_aq_imp,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_imp,How important do you think it is to improve air quality?,categorical,[1 Not at all Important] [2 Slightly Important] [3 Somewhat Important] [4 Moderately Important] [5 Extremely Important] [6 Dont know],environmental_exposure,1936,1936
BiB_Breathes.BiBBr_Phase1.bre1_aq_res___1,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res___1,Responsibility for improving air quality: Government,categorical,[0 Unchecked] [1 Checked],environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_res___2,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res___2,Responsibility for improving air quality: Council,categorical,[0 Unchecked] [1 Checked],environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_res___3,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res___3,Responsibility for improving air quality: General public,categorical,[0 Unchecked] [1 Checked],environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_res___4,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res___4,Responsibility for improving air quality: Factory owners,categorical,[0 Unchecked] [1 Checked],environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_res___5,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res___5,Responsibility for improving air quality: Other business owners,categorical,[0 Unchecked] [1 Checked],environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_res___6,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res___6,Responsibility for improving air quality: Other,categorical,[0 Unchecked] [1 Checked],environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_res_oth,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_res_oth,"If you said Other's responsibility, please specify",text,,environmental_exposure,1952,1952
BiB_Breathes.BiBBr_Phase1.bre1_aq_pan,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_aq_pan,How do you think air pollution has changed since start of pandemic?,categorical,[-2 Dont Know] [1 Increased] [2 Stayed the Same] [3 Decreased],environmental_exposure,1929,1929
BiB_Breathes.BiBBr_Phase1.bre1_caz_bfd,BiB_Breathes.BiBBr_Phase1,BiB_Breathes,BiBBr_Phase1,bre1_caz_bfd,Had you heard about the CAZ before this survey?,categorical,[-2 Dont Know] [1 Yes] [2 No],environmental_exposure,1895,1895
