project,table,variable
BiB_ChildGrowth,bioimpedance,BiBChildID
BiB_ChildGrowth,bioimpedance,has_bioimpedance
BiB_ChildGrowth,bioimpedance,date
BiB_ChildGrowth,bioimpedance,cgrowthsource
BiB_ChildGrowth,bioimpedance,agecd_cgrowth
BiB_ChildGrowth,bioimpedance,agecm_cgrowth
BiB_ChildGrowth,bioimpedance,agecy_cgrowth
BiB_ChildGrowth,bioimpedance,cheight
BiB_ChildGrowth,bioimpedance,flag_height
BiB_ChildGrowth,bioimpedance,cweight
BiB_ChildGrowth,bioimpedance,flag_weight
BiB_ChildGrowth,bioimpedance,cbmi
BiB_ChildGrowth,bioimpedance,cfatpercentage
BiB_ChildGrowth,bioimpedance,cfatmass
BiB_ChildGrowth,bioimpedance,cmusclemass
BiB_ChildGrowth,bioimpedance,cfatfreemass
BiB_ChildGrowth,bioimpedance,ctotalbodywater
BiB_ChildGrowth,bioimpedance,cimpedance
