variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_ChildGrowth.growth_PrimaryCare.BiBChildID,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,BiBChildID,,text,,,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.has_growth,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,has_growth,Has child height/weight data,integer,,,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.date,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,date,,date,,anthropometry,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.cgrowthsource,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,cgrowthsource,Source of data,categorical,[1 eClipse] [2 BiB1000 6mths] [3 BiB1000 12mths] [4 BiB1000 18mths] [5 BiB1000 24mths] [6 BiB1000 36mths] [7 AllIn 12mths] [8 AllIn 24mths] [9 MeDALL] [10 Dental study] [11 Growing Up] [12 Age of Wonder] [13 School nurses] [14 NCMP] [15 Primary care],,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.agecd_cgrowth,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,agecd_cgrowth,Age at measurement (days),integer,,,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.agecm_cgrowth,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,agecm_cgrowth,Age at measurement (months),integer,,age,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.agecy_cgrowth,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,agecy_cgrowth,Age at measurement (years),integer,,age,91086,13419
BiB_ChildGrowth.growth_PrimaryCare.cheight,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,cheight,Height (cm),float,,,58581,13351
BiB_ChildGrowth.growth_PrimaryCare.czheiuk90,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,czheiuk90,Height SDS (UK90 reference),float,,,58581,13351
BiB_ChildGrowth.growth_PrimaryCare.flag_height,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,flag_height,Height is average of two measurements taken on same day,integer,,,0,0
BiB_ChildGrowth.growth_PrimaryCare.cweight,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,cweight,Weight (kg),float,,,89141,13405
BiB_ChildGrowth.growth_PrimaryCare.czweiuk90,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,czweiuk90,Weight SDS (UK90 reference),float,,,89141,13405
BiB_ChildGrowth.growth_PrimaryCare.flag_weight,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,flag_weight,Weight is average of two measurements taken on same day,integer,,,19,19
BiB_ChildGrowth.growth_PrimaryCare.cbmi,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,cbmi,BMI,float,,,56636,13326
BiB_ChildGrowth.growth_PrimaryCare.czbmiuk90,BiB_ChildGrowth.growth_PrimaryCare,BiB_ChildGrowth,growth_PrimaryCare,czbmiuk90,BMI SDS (UK90 reference),float,,,56636,13326
