project,table,variable
BiB_ChildGrowth,anthropometry,BiBChildID
BiB_ChildGrowth,anthropometry,cgrowthsource
BiB_ChildGrowth,anthropometry,date
BiB_ChildGrowth,anthropometry,agecd_cgrowth
BiB_ChildGrowth,anthropometry,agecm_cgrowth
BiB_ChildGrowth,anthropometry,agecy_cgrowth
BiB_ChildGrowth,anthropometry,cabdo
BiB_ChildGrowth,anthropometry,chead
BiB_ChildGrowth,anthropometry,flag_head
BiB_ChildGrowth,anthropometry,csubscap
BiB_ChildGrowth,anthropometry,ctriceps
BiB_ChildGrowth,anthropometry,cmidarm
BiB_ChildGrowth,anthropometry,cthigh
BiB_ChildGrowth,growth_NCMP,BiBChildID
BiB_ChildGrowth,growth_NCMP,has_growth
BiB_ChildGrowth,growth_NCMP,date
BiB_ChildGrowth,growth_NCMP,cgrowthsource
BiB_ChildGrowth,growth_NCMP,agecd_cgrowth
BiB_ChildGrowth,growth_NCMP,agecm_cgrowth
BiB_ChildGrowth,growth_NCMP,agecy_cgrowth
BiB_ChildGrowth,growth_NCMP,cheight
BiB_ChildGrowth,growth_NCMP,czheiuk90
BiB_ChildGrowth,growth_NCMP,flag_height
BiB_ChildGrowth,growth_NCMP,cweight
BiB_ChildGrowth,growth_NCMP,czweiuk90
BiB_ChildGrowth,growth_NCMP,flag_weight
BiB_ChildGrowth,growth_NCMP,cbmi
BiB_ChildGrowth,growth_NCMP,czbmiuk90
BiB_ChildGrowth,growth_ResearchData,BiBChildID
BiB_ChildGrowth,growth_ResearchData,has_growth
BiB_ChildGrowth,growth_ResearchData,date
BiB_ChildGrowth,growth_ResearchData,cgrowthsource
BiB_ChildGrowth,growth_ResearchData,agecd_cgrowth
BiB_ChildGrowth,growth_ResearchData,agecm_cgrowth
BiB_ChildGrowth,growth_ResearchData,agecy_cgrowth
BiB_ChildGrowth,growth_ResearchData,cweight
BiB_ChildGrowth,growth_ResearchData,czweiuk90
BiB_ChildGrowth,growth_ResearchData,flag_weight
BiB_ChildGrowth,growth_ResearchData,cheight
BiB_ChildGrowth,growth_ResearchData,czheiuk90
BiB_ChildGrowth,growth_ResearchData,flag_height
BiB_ChildGrowth,growth_ResearchData,cbmi
BiB_ChildGrowth,growth_ResearchData,czbmiuk90
BiB_ChildGrowth,growth_PrimaryCare,BiBChildID
BiB_ChildGrowth,growth_PrimaryCare,has_growth
BiB_ChildGrowth,growth_PrimaryCare,date
BiB_ChildGrowth,growth_PrimaryCare,cgrowthsource
BiB_ChildGrowth,growth_PrimaryCare,agecd_cgrowth
BiB_ChildGrowth,growth_PrimaryCare,agecm_cgrowth
BiB_ChildGrowth,growth_PrimaryCare,agecy_cgrowth
BiB_ChildGrowth,growth_PrimaryCare,cheight
BiB_ChildGrowth,growth_PrimaryCare,czheiuk90
BiB_ChildGrowth,growth_PrimaryCare,flag_height
BiB_ChildGrowth,growth_PrimaryCare,cweight
BiB_ChildGrowth,growth_PrimaryCare,czweiuk90
BiB_ChildGrowth,growth_PrimaryCare,flag_weight
BiB_ChildGrowth,growth_PrimaryCare,cbmi
BiB_ChildGrowth,growth_PrimaryCare,czbmiuk90
BiB_ChildGrowth,bioimpedance,BiBChildID
BiB_ChildGrowth,bioimpedance,has_bioimpedance
BiB_ChildGrowth,bioimpedance,date
BiB_ChildGrowth,bioimpedance,cgrowthsource
BiB_ChildGrowth,bioimpedance,agecd_cgrowth
BiB_ChildGrowth,bioimpedance,agecm_cgrowth
BiB_ChildGrowth,bioimpedance,agecy_cgrowth
BiB_ChildGrowth,bioimpedance,cheight
BiB_ChildGrowth,bioimpedance,flag_height
BiB_ChildGrowth,bioimpedance,cweight
BiB_ChildGrowth,bioimpedance,flag_weight
BiB_ChildGrowth,bioimpedance,cbmi
BiB_ChildGrowth,bioimpedance,cfatpercentage
BiB_ChildGrowth,bioimpedance,cfatmass
BiB_ChildGrowth,bioimpedance,cmusclemass
BiB_ChildGrowth,bioimpedance,cfatfreemass
BiB_ChildGrowth,bioimpedance,ctotalbodywater
BiB_ChildGrowth,bioimpedance,cimpedance
