project,table,variable
BiB_CohortInfo,person_info,BiBPersonID
BiB_CohortInfo,person_info,PersonID
BiB_CohortInfo,person_info,ParticipantType
BiB_CohortInfo,person_info,ParticipantType_cat
BiB_CohortInfo,person_info,Gender
BiB_CohortInfo,person_info,Gender_cat
BiB_CohortInfo,person_info,DateOfBirth
BiB_CohortInfo,person_info,YearOfBirth
BiB_CohortInfo,person_info,MonthOfBirth
BiB_CohortInfo,person_info,BiBFatherID
BiB_CohortInfo,person_info,BiBMotherID
BiB_CohortInfo,person_info,BiBPregNumber
BiB_CohortInfo,person_info,PregnancyID
BiB_CohortInfo,ethnicity,BiBPersonID
BiB_CohortInfo,ethnicity,ethnicity16
BiB_CohortInfo,ethnicity,ethnicity5
BiB_CohortInfo,ethnicity,ethsource
BiB_CohortInfo,ethnicity,participant_type
BiB_CohortInfo,related_pairs,id
BiB_CohortInfo,related_pairs,id_relation
BiB_CohortInfo,related_pairs,relationship
BiB_CohortInfo,related_pairs,ParticipantType
BiB_CohortInfo,related_pairs,ParticipantType_relation
BiB_CohortInfo,related_pairs,PregnancyID
BiB_CohortInfo,related_pairs,BiBPregNumber
BiB_CohortInfo,child_info,BiBPersonID
BiB_CohortInfo,child_info,has_child_info
BiB_CohortInfo,child_info,admincbirthorder
BiB_CohortInfo,child_info,admincdobagefm
BiB_CohortInfo,child_info,admincdobagefy
BiB_CohortInfo,child_info,admincdobagemm
BiB_CohortInfo,child_info,admincdobagemy
BiB_CohortInfo,child_info,admincgender
BiB_CohortInfo,father_info,BiBPersonID
BiB_CohortInfo,father_info,has_father_info
BiB_CohortInfo,father_info,adminfagerecm
BiB_CohortInfo,father_info,adminfagerecy
BiB_CohortInfo,father_info,adminfgender
BiB_CohortInfo,father_info,adminfnbibch
BiB_CohortInfo,father_info,adminfnbibpr
BiB_CohortInfo,father_info,adminfnfbqall
BiB_CohortInfo,father_info,adminfrecdate
BiB_CohortInfo,mother_info,BiBPersonID
BiB_CohortInfo,mother_info,has_mother_info
BiB_CohortInfo,mother_info,adminmagerecm
BiB_CohortInfo,mother_info,adminmagerecy
BiB_CohortInfo,mother_info,adminmgender
BiB_CohortInfo,mother_info,adminmnbibch
BiB_CohortInfo,mother_info,adminmnbibpr
BiB_CohortInfo,mother_info,adminmnmbqall
BiB_CohortInfo,mother_info,adminmrecdate
BiB_CohortInfo,id_linkage,PregnancyID
BiB_CohortInfo,id_linkage,BiBPregNumber
BiB_CohortInfo,id_linkage,BiBMotherID
BiB_CohortInfo,id_linkage,BiBFatherID
BiB_CohortInfo,id_linkage,BiBChildID
BiB_CohortInfo,preg_info,BiBPersonID
BiB_CohortInfo,preg_info,BiBPregNumber
BiB_CohortInfo,preg_info,has_preg_info
BiB_CohortInfo,preg_info,PregnancyID
BiB_CohortInfo,preg_info,adminpagebookmm
BiB_CohortInfo,preg_info,adminpagebookmy
BiB_CohortInfo,preg_info,adminpagerecfm
BiB_CohortInfo,preg_info,adminpagerecfy
BiB_CohortInfo,preg_info,adminpagerecmm
BiB_CohortInfo,preg_info,adminpagerecmy
BiB_CohortInfo,preg_info,adminpnbirths
BiB_CohortInfo,genotyping_info,id
BiB_CohortInfo,genotyping_info,ParticipantType
BiB_CohortInfo,genotyping_info,Gender
BiB_CohortInfo,genotyping_info,lab_id
BiB_CohortInfo,genotyping_info,gt_chip
BiB_CohortInfo,genotyping_info,ethnicity
BiB_CohortInfo,genotyping_info,passed_qc
BiB_CohortInfo,genotyping_info,copies
BiB_CohortInfo,genotyping_info,has_BiB12v1_0
BiB_CohortInfo,genotyping_info,has_BiB12v1_1
BiB_CohortInfo,genotyping_info,has_BiB24v1_0
BiB_CohortInfo,exomeseq_info,BiBPersonID
BiB_CohortInfo,exomeseq_info,lab_id1
BiB_CohortInfo,exomeseq_info,ParticipantType
BiB_CohortInfo,exomeseq_info,Gender
BiB_CohortInfo,exomeseq_info,lab_id2
BiB_CohortInfo,exomeseq_info,exseq_phase
BiB_CohortInfo,exomeseq_info,copies
BiB_CohortInfo,exomeseq_info,passed_qc
BiB_CohortInfo,dnam_info,BiBPersonID
BiB_CohortInfo,dnam_info,ParticipantType
BiB_CohortInfo,dnam_info,BiBMotherID
BiB_CohortInfo,dnam_info,BiBPregNumber
BiB_CohortInfo,dnam_info,Gender
BiB_CohortInfo,dnam_info,lab_id
BiB_CohortInfo,dnam_info,replicate
BiB_CohortInfo,dnam_controls,ParticipantType
BiB_CohortInfo,dnam_controls,lab_id
