project,table,variable
BiB_Dental,plat_dental_activity,BiBPersonID
BiB_Dental,plat_dental_activity,Gender
BiB_Dental,plat_dental_activity,Ethnicity5_cat
BiB_Dental,plat_dental_activity,Month_Birth
BiB_Dental,plat_dental_activity,Year_Birth
BiB_Dental,plat_dental_activity,ParticipantType
BiB_Dental,plat_dental_activity,Date_Acceptance
BiB_Dental,plat_dental_activity,Date_Completion_LastVisit
BiB_Dental,plat_dental_activity,Treatment_Referral
BiB_Dental,plat_dental_activity,Date_Referral
BiB_Dental,plat_dental_activity,Date_Assessment
BiB_Dental,plat_dental_activity,Date_Appliance_Fitted
BiB_Dental,plat_dental_activity,Incomplete_Treatment_Flag
BiB_Dental,plat_dental_activity,SP_Flag
BiB_Dental,plat_dental_activity,FV_Flag
BiB_Dental,plat_dental_activity,FS_Flag
BiB_Dental,plat_dental_activity,Rads_Flag
BiB_Dental,plat_dental_activity,Endo_Flag
BiB_Dental,plat_dental_activity,Perm_Fill_Flag
BiB_Dental,plat_dental_activity,Extr_Flag
BiB_Dental,plat_dental_activity,Crowns_Flag
BiB_Dental,plat_dental_activity,Up_Dent_Ac_Flag
BiB_Dental,plat_dental_activity,Low_Dent_Ac_Flag
BiB_Dental,plat_dental_activity,Up_Dent_Met_Flag
BiB_Dental,plat_dental_activity,Low_Dent_Met_Flag
BiB_Dental,plat_dental_activity,Veneer_Flag
BiB_Dental,plat_dental_activity,Bridges_Flag
BiB_Dental,plat_dental_activity,Ref_AMS_Flag
BiB_Dental,plat_dental_activity,Exam_Flag
BiB_Dental,plat_dental_activity,Patient_Charge_Collected_Cat
BiB_Dental,plat_dental_activity,Treatment_Charge_Band
BiB_Dental,plat_dental_activity,Treatment_Sub_Charge_Band
BiB_Dental,plat_dental_activity,Comb_Trt_Sub_Chg_Band
BiB_Dental,plat_dental_activity,Decayed_Perm
BiB_Dental,plat_dental_activity,Missing_Perm
BiB_Dental,plat_dental_activity,Filled_Perm
BiB_Dental,plat_dental_activity,Decayed_Dec
BiB_Dental,plat_dental_activity,Missing_Dec
BiB_Dental,plat_dental_activity,Filled_Dec
BiB_Dental,plat_dental_activity,AGP
BiB_Dental,plat_dental_activity,NICE_Rec_Grp
BiB_Dental,plat_dental_activity,Ortho_Ass_Acc_Flag
BiB_Dental,plat_dental_activity,Ortho_Ass_Refuse_Flag
BiB_Dental,plat_dental_activity,Ortho_Ass_Review_Flag
BiB_Dental,plat_dental_activity,Ortho_Trt_Completed_Flag
BiB_Dental,plat_dental_activity,Ortho_Extr_Flag
BiB_Dental,plat_dental_activity,Fixed_Lower_Flag
BiB_Dental,plat_dental_activity,Fixed_Upper_Flag
BiB_Dental,plat_dental_activity,Functional_Flag
BiB_Dental,plat_dental_activity,Rem_Lower_Flag
BiB_Dental,plat_dental_activity,Rem_Upper_Flag
