project,table,variable
BiB_Dental,plat_person,BiBPersonID
BiB_Dental,plat_person,Gender
BiB_Dental,plat_person,year_of_birth
BiB_Dental,plat_person,month_of_birth
BiB_Dental,plat_person,school_linkage
BiB_Dental,plat_person,plat_eligible
BiB_Dental,plat_person,plat_case
BiB_Dental,plat_person,school_id
BiB_Dental,plat_person,academic_year
BiB_Dental,plat_person,consent_year
BiB_Dental,plat_person,consent_month
BiB_Dental,plat_person,age_consent_y
BiB_Dental,plat_person,age_consent_m
BiB_Dental,plat_person,ConExtracted
BiB_Dental,plat_person,plat_recruited
BiB_Dental,plat_person,has_ortho
BiB_Dental,plat_person,has_survey
BiB_Dental,plat_person,has_teeth_data
