variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Dental.plat_teeth.BiBPersonID,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,BiBPersonID,,text,,,346,332
BiB_Dental.plat_teeth.assessment_year,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,assessment_year,Year of assessment,integer,,,346,332
BiB_Dental.plat_teeth.assessment_month,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,assessment_month,Month of assessment,integer,,,346,332
BiB_Dental.plat_teeth.age_assessment_y,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,age_assessment_y,Child age in years at assessment,integer,,,346,332
BiB_Dental.plat_teeth.age_assessment_m,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,age_assessment_m,Child age in months at assessment,integer,,,346,332
BiB_Dental.plat_teeth.tooth55,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,tooth55,0.000000,categorical,[0 Not Present] [1 Sound] [2 Carious] [3 Restored] [4 Defective restoration] [5 Hypo-mineralised] [6 Hypo-mineralised and carious] [7 Other dental developmental defect],,346,332
BiB_Dental.plat_teeth.tooth54,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,tooth54,0.000000,categorical,[0 Not Present] [1 Sound] [2 Carious] [3 Restored] [4 Defective restoration] [5 Hypo-mineralised] [6 Hypo-mineralised and carious] [7 Other dental developmental defect],,346,332
BiB_Dental.plat_teeth.tooth53,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,tooth53,0.000000,categorical,[0 Not Present] [1 Sound] [2 Carious] [3 Restored] [4 Defective restoration] [5 Hypo-mineralised] [6 Hypo-mineralised and carious] [7 Other dental developmental defect],,346,332
BiB_Dental.plat_teeth.tooth52,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,tooth52,0.000000,categorical,[0 Not Present] [1 Sound] [2 Carious] [3 Restored] [4 Defective restoration] [5 Hypo-mineralised] [6 Hypo-mineralised and carious] [7 Other dental developmental defect],,346,332
BiB_Dental.plat_teeth.tooth51,BiB_Dental.plat_teeth,BiB_Dental,plat_teeth,tooth51,0.000000,categorical,[0 Not Present] [1 Sound] [2 Carious] [3 Restored] [4 Defective restoration] [5 Hypo-mineralised] [6 Hypo-mineralised and carious] [7 Other dental developmental defect],,346,332
