project,table,variable
BiB_Dental,plat_teeth,BiBPersonID
BiB_Dental,plat_teeth,assessment_year
BiB_Dental,plat_teeth,assessment_month
BiB_Dental,plat_teeth,age_assessment_y
BiB_Dental,plat_teeth,age_assessment_m
BiB_Dental,plat_teeth,tooth55
BiB_Dental,plat_teeth,tooth54
BiB_Dental,plat_teeth,tooth53
BiB_Dental,plat_teeth,tooth52
BiB_Dental,plat_teeth,tooth51
BiB_Dental,plat_teeth,tooth61
BiB_Dental,plat_teeth,tooth62
BiB_Dental,plat_teeth,tooth63
BiB_Dental,plat_teeth,tooth64
BiB_Dental,plat_teeth,tooth65
BiB_Dental,plat_teeth,tooth85
BiB_Dental,plat_teeth,tooth84
BiB_Dental,plat_teeth,tooth83
BiB_Dental,plat_teeth,tooth82
BiB_Dental,plat_teeth,tooth81
BiB_Dental,plat_teeth,tooth71
BiB_Dental,plat_teeth,tooth72
BiB_Dental,plat_teeth,tooth73
BiB_Dental,plat_teeth,tooth74
BiB_Dental,plat_teeth,tooth75
BiB_Dental,plat_teeth,tooth17
BiB_Dental,plat_teeth,tooth16
BiB_Dental,plat_teeth,tooth15
BiB_Dental,plat_teeth,tooth14
BiB_Dental,plat_teeth,tooth13
BiB_Dental,plat_teeth,tooth12
BiB_Dental,plat_teeth,tooth11
BiB_Dental,plat_teeth,tooth21
BiB_Dental,plat_teeth,tooth22
BiB_Dental,plat_teeth,tooth23
BiB_Dental,plat_teeth,tooth24
BiB_Dental,plat_teeth,tooth25
BiB_Dental,plat_teeth,tooth26
BiB_Dental,plat_teeth,tooth27
BiB_Dental,plat_teeth,tooth47
BiB_Dental,plat_teeth,tooth46
BiB_Dental,plat_teeth,tooth45
BiB_Dental,plat_teeth,tooth44
BiB_Dental,plat_teeth,tooth43
BiB_Dental,plat_teeth,tooth42
BiB_Dental,plat_teeth,tooth41
BiB_Dental,plat_teeth,tooth31
BiB_Dental,plat_teeth,tooth32
BiB_Dental,plat_teeth,tooth33
BiB_Dental,plat_teeth,tooth34
BiB_Dental,plat_teeth,tooth35
BiB_Dental,plat_teeth,tooth36
BiB_Dental,plat_teeth,tooth37
BiB_Dental,plat_teeth,teeth_notes
