variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Dental.dsurvey_5yo.BiBPersonID,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,BiBPersonID,,text,,,354,354
BiB_Dental.dsurvey_5yo.has_dsurvey_5yo,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,has_dsurvey_5yo,Has 5yo dental survey,integer,,administration,354,354
BiB_Dental.dsurvey_5yo.AgeMths,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,AgeMths,"Age at treatment, months",integer,,age,354,354
BiB_Dental.dsurvey_5yo.ddsdt,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsdt,Number of decayed teeth,integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddsmt,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsmt,Number of missing teeth,integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddsft,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsft,Number of filled teeth,integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddsdmft,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsdmft,"Number of decayed, missing and filled teeth",integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddscareindex,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddscareindex,Number of filled teeth divided by the dmft,float,,oral_dental_health,354,354
BiB_Dental.bib_dental_activity.BiBPersonID,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,BiBPersonID,BiB PersonID,text,,,205762,23032
BiB_Dental.bib_dental_activity.Cohort,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Cohort,Which cohort is the participant in?,categorical,[1 BiB] [2 BiB4All] [3 BiBBS],,205762,23032
BiB_Dental.bib_dental_activity.Gender,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Gender,Gender,categorical,[1 Male] [2 Female],gender,203511,22727
BiB_Dental.bib_dental_activity.Ethnicity5_cat,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Ethnicity5_cat,Ethnic origin 5 categories,categorical,"[1 Asian, Asian British or Asian Welsh] [2 Black, Black British, Black Welsh, Caribbean or African] [3 Mixed or Multiple ethnic groups] [4 White] [5 Other ethnic groups]",ethnic_group,130257,17125
BiB_Dental.bib_dental_activity.Month_Birth,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Month_Birth,Month of birth,integer,,age,203531,22729
BiB_Dental.bib_dental_activity.Year_Birth,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Year_Birth,Year of birth,integer,,age,203531,22729
BiB_Dental.bib_dental_activity.ParticipantType,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,ParticipantType,Participant type,categorical,[1 Mother] [2 Child] [3 Father] [4 Partner],,205762,23032
BiB_Dental.bib_dental_activity.Date_Acceptance,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Date_Acceptance,Date of acceptance for course of treatment,text,,administration,205762,23032
BiB_Dental.bib_dental_activity.Date_Completion_LastVisit,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Date_Completion_LastVisit,Date of completion or last visit,text,,administration,205762,23032
BiB_Dental.bib_dental_activity.Treatment_Referral,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Treatment_Referral,Treating patient that has been referred to dentist,categorical,[0 No] [1 Yes],oral_dental_health,205762,23032
BiB_Dental.bib_dental_activity.Date_Referral,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Date_Referral,Date of referral,text,,administration,205762,23032
BiB_Dental.bib_dental_activity.Date_Assessment,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Date_Assessment,Date of assessment,text,,administration,205762,23032
BiB_Dental.bib_dental_activity.Date_Appliance_Fitted,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Date_Appliance_Fitted,Date appliance fitted,text,,administration,205762,23032
BiB_Dental.bib_dental_activity.Incomplete_Treatment_Flag,BiB_Dental.bib_dental_activity,BiB_Dental,bib_dental_activity,Incomplete_Treatment_Flag,Treatment commenced but not completed,categorical,[0 No] [1 Yes],oral_dental_health,205762,23032
