variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Education_Record.edrecs_additional_school_info.psuedoURN,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,psuedoURN,,text,,,517,517
BiB_Education_Record.edrecs_additional_school_info.dfe_type,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_type,DfE: School type sub category,categorical,[1 Academy alternative provision converter] [2 Academy converter] [3 Academy special converter] [4 Academy special sponsor led] [5 Academy sponsor led] [6 City technology college] [7 Community school] [8 Community special school] [9 Foundation school] [10 Free schools] [11 Free schools 16 to 19] [12 Further education] [13 Local authority nursery school] [14 Miscellaneous] [15 Other independent school] [16 Other independent special school] [17 Pupil referral unit] [18 Sixth form centres] [19 Studio schools] [20 Voluntary aided school] [21 Voluntary controlled school],education,517,517
BiB_Education_Record.edrecs_additional_school_info.dfe_type2,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_type2,DfE: School type main category,categorical,[1 Academies] [2 Colleges] [3 Free Schools] [4 Independent schools] [5 Local authority maintained schools] [6 Other types] [7 Special schools],education,517,517
BiB_Education_Record.edrecs_additional_school_info.dfe_opened,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_opened,DfE: Date school opened,date,,education,232,232
BiB_Education_Record.edrecs_additional_school_info.dfe_closed,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_closed,DfE: Date school closed,date,,education,288,288
BiB_Education_Record.edrecs_additional_school_info.dfe_phase,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_phase,DfE: Phase of education,categorical,[1 16 plus] [2 All-through] [3 Middle deemed secondary] [4 Not applicable] [5 Nursery] [6 Primary] [7 Secondary],education,517,517
BiB_Education_Record.edrecs_additional_school_info.dfe_age_low,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_age_low,DfE: Statutory low age,integer,,education,511,511
BiB_Education_Record.edrecs_additional_school_info.dfe_age_high,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_age_high,DfE: Statutory high age,integer,,education,511,511
BiB_Education_Record.edrecs_additional_school_info.dfe_boarding_school,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_boarding_school,DfE: Boarding school status,categorical,[1 Boarding school] [2 Children's home (Boarding school)] [3 No boarders] [4 Not applicable],education,505,505
BiB_Education_Record.edrecs_additional_school_info.dfe_sixth_form,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_sixth_form,DfE: Sixth form status,categorical,[1 Does not have a sixth form] [2 Has a sixth form] [3 Not applicable],education,517,517
BiB_Education_Record.edrecs_additional_school_info.dfe_gender,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_gender,DfE: Gender policy,categorical,[1 Boys] [2 Girls] [3 Mixed] [4 Not applicable],education,516,516
BiB_Education_Record.edrecs_additional_school_info.dfe_admissions_policy,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_admissions_policy,DfE: Admissions policy,categorical,[1 Non-selective] [2 Not applicable] [3 Selective],education,511,511
BiB_Education_Record.edrecs_additional_school_info.dfe_capacity,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_capacity,DfE: Official capacity,integer,,education,378,378
BiB_Education_Record.edrecs_additional_school_info.dfe_census_date,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_census_date,DfE: Date of school census,date,,education,298,298
BiB_Education_Record.edrecs_additional_school_info.dfe_headcount,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_headcount,DfE: Count of all students,integer,,education,296,296
BiB_Education_Record.edrecs_additional_school_info.dfe_boys,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_boys,DfE: Count of male students,integer,,education,296,296
BiB_Education_Record.edrecs_additional_school_info.dfe_girls,BiB_Education_Record.edrecs_additional_school_info,BiB_Education_Record,edrecs_additional_school_info,dfe_girls,DfE: Count of female students,integer,,education,296,296
