project,table,variable
BiB_Education_Record,edrecs_additional_school_info,psuedoURN
BiB_Education_Record,edrecs_additional_school_info,dfe_type
BiB_Education_Record,edrecs_additional_school_info,dfe_type2
BiB_Education_Record,edrecs_additional_school_info,dfe_opened
BiB_Education_Record,edrecs_additional_school_info,dfe_closed
BiB_Education_Record,edrecs_additional_school_info,dfe_phase
BiB_Education_Record,edrecs_additional_school_info,dfe_age_low
BiB_Education_Record,edrecs_additional_school_info,dfe_age_high
BiB_Education_Record,edrecs_additional_school_info,dfe_boarding_school
BiB_Education_Record,edrecs_additional_school_info,dfe_sixth_form
BiB_Education_Record,edrecs_additional_school_info,dfe_gender
BiB_Education_Record,edrecs_additional_school_info,dfe_admissions_policy
BiB_Education_Record,edrecs_additional_school_info,dfe_capacity
BiB_Education_Record,edrecs_additional_school_info,dfe_census_date
BiB_Education_Record,edrecs_additional_school_info,dfe_headcount
BiB_Education_Record,edrecs_additional_school_info,dfe_boys
BiB_Education_Record,edrecs_additional_school_info,dfe_girls
BiB_Education_Record,edrecs_additional_school_info,dfe_fsm
BiB_Education_Record,edrecs_additional_school_info,ofsted_date
BiB_Education_Record,edrecs_additional_school_info,ofsted_rating
BiB_Education_Record,edrecs_additional_school_info,ofsted_idaci
BiB_Education_Record,edrecs_additional_school_info,ofsted_headcount
BiB_Education_Record,edrecs_additional_school_info,ofsted_full_inspection_date
BiB_Education_Record,edrecs_additional_school_info,ofsted_overall
BiB_Education_Record,edrecs_additional_school_info,ofsted_quality_education
BiB_Education_Record,edrecs_additional_school_info,ofsted_behaviour_attitudes
BiB_Education_Record,edrecs_additional_school_info,ofsted_personal_development
BiB_Education_Record,edrecs_additional_school_info,ofsted_effective_leadership
BiB_Education_Record,edrecs_additional_school_info,ofsted_Early_years
BiB_Education_Record,edrecs_additional_school_info,ofsted_sixth_form
