variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Education_Record.edrecs_eyfsp_1.BiBPersonID,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,BiBPersonID,,text,,,705,705
BiB_Education_Record.edrecs_eyfsp_1.has_edrecs_eyfsp_1,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,has_edrecs_eyfsp_1,Has early years foundation stage profile pre 2013,integer,,administration,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_acyrtested,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_acyrtested,School year of EYFSP assessment,categorical,[1 R] [2 Y1] [3 Y2] [4 Y3] [5 Y4] [6 Y5] [7 Y6],administration,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_calc,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_calc,"EYFSP pre 2013 - Prob Solving, reasoning, numeracy: Calculating",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_cd,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_cd,EYFSP pre 2013 - Creative development,integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_cll,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_cll,"EYFSP pre 2013 - Comm, lang and lit: Total Sub Score",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_da,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_da,"EYFSP pre 2013 - Personal, social and emotional dev: Dispositions and attitudes",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_ed,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_ed,"EYFSP pre 2013 - Personal, social and emotional dev: Emotional development",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_fstot,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_fstot,EYFSP pre 2013 - Overall Total Score,integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_kuw,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_kuw,EYFSP pre 2013 - Knowledge and understanding of the world,integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_lct,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_lct,"EYFSP pre 2013 - Comm, lang and lit: Language for communication and thinking",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_lsl,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_lsl,"EYFSP pre 2013 - Comm, lang and lit: Linking sounds and letters",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_ma,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_ma,"EYFSP pre 2013 - Prob Solving, reasoning, numeracy: Total Sub Score",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_nlc,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_nlc,"EYFSP pre 2013 - Prob Solving, reasoning, numeracy: Numbers as labels, counting",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_pd,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_pd,EYFSP pre 2013 - Physical development,integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_pse,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_pse,"EYFSP pre 2013 - Personal, social and emotional dev: Total Sub Score",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_read,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_read,"EYFSP pre 2013 - Comm, lang and lit: Reading",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_sd,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_sd,"EYFSP pre 2013 - Personal, social and emotional dev: Social development",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_ssm,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_ssm,"EYFSP pre 2013 - Prob Solving, reasoning, numeracy: Shape, space, measures",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_testestablishment,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_testestablishment,School Code where test conducted: EYFSP pre 2013,text,,location,705,705
BiB_Education_Record.edrecs_eyfsp_1.eyfsp_pre2013_write,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_write,"EYFSP pre 2013 - Comm, lang and lit: Writing",integer,,primary_schooling,705,705
BiB_Education_Record.edrecs_eyfsp_1.has_eyfsp1,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,has_eyfsp1,Has: Early Years Foundation Stage Profile: pre 2013,categorical,[1 has],administration,705,705
BiB_Education_Record.edrecs_eyfsp_1.date_est,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,date_est,Estimated date of assessment,date,,administration,705,705
BiB_Education_Record.edrecs_eyfsp_1.age_months_est,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,age_months_est,Estimated age in months at assessment,integer,,age,705,705
BiB_Education_Record.edrecs_eyfsp_1.age_years_est,BiB_Education_Record.edrecs_eyfsp_1,BiB_Education_Record,edrecs_eyfsp_1,age_years_est,Estimated age in years at assessment,integer,,age,705,705
