project,table,variable
BiB_Education_Record,edrecs_eyfsp_1,BiBPersonID
BiB_Education_Record,edrecs_eyfsp_1,has_edrecs_eyfsp_1
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_acyrtested
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_calc
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_cd
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_cll
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_da
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_ed
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_fstot
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_kuw
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_lct
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_lsl
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_ma
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_nlc
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_pd
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_pse
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_read
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_sd
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_ssm
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_testestablishment
BiB_Education_Record,edrecs_eyfsp_1,eyfsp_pre2013_write
BiB_Education_Record,edrecs_eyfsp_1,has_eyfsp1
BiB_Education_Record,edrecs_eyfsp_1,date_est
BiB_Education_Record,edrecs_eyfsp_1,age_months_est
BiB_Education_Record,edrecs_eyfsp_1,age_years_est
