project,table,variable
BiB_Education_Record,edrecs_ks1_2,BiBPersonID
BiB_Education_Record,edrecs_ks1_2,has_edrecs_ks1_2
BiB_Education_Record,edrecs_ks1_2,has_edks12
BiB_Education_Record,edrecs_ks1_2,ks1_post2016_acyrtested
BiB_Education_Record,edrecs_ks1_2,ks1_post2016_maths
BiB_Education_Record,edrecs_ks1_2,ks1_post2016_reading
BiB_Education_Record,edrecs_ks1_2,ks1_post2016_science
BiB_Education_Record,edrecs_ks1_2,ks1_post2016_testestablishment
BiB_Education_Record,edrecs_ks1_2,ks1_post2016_writing
BiB_Education_Record,edrecs_ks1_2,date_est
BiB_Education_Record,edrecs_ks1_2,age_months_est
BiB_Education_Record,edrecs_ks1_2,age_years_est
