variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Education_Record.edrecs_ks2.BiBPersonID,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,BiBPersonID,,text,,,3466,3466
BiB_Education_Record.edrecs_ks2.YearTest,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,YearTest,Year test was taken,text,,administration,3466,3466
BiB_Education_Record.edrecs_ks2.AcademicYearTest,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,AcademicYearTest,Academic year in which test was taken,integer,,administration,3466,3466
BiB_Education_Record.edrecs_ks2.AgeMonths,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,AgeMonths,Age in months when test was taken,integer,,age,3466,3466
BiB_Education_Record.edrecs_ks2.AgeYrs,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,AgeYrs,Age in years when test was taken,integer,,age,3466,3466
BiB_Education_Record.edrecs_ks2.TestEstablishment,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,TestEstablishment,Test location code,text,,location,3466,3466
BiB_Education_Record.edrecs_ks2.maths_ScaledScore,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,maths_ScaledScore,Maths - test scaled score,integer,,primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.reading_ScaledScore,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,reading_ScaledScore,Reading - test scaled score,integer,,primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.gps_ScaledScore,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,gps_ScaledScore,"GPS (grammar, punctuation and spelling) - test scaled score",integer,,primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.acheived_RWM,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,acheived_RWM,"Acheived RWM (reading, writing and maths) at expected standard",categorical,[1 Pass],primary_schooling,2196,2196
BiB_Education_Record.edrecs_ks2.maths_TAO,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,maths_TAO,Maths - Teacher Assessment Outcome,categorical,[2 EXS: Working at expected standard] [4 HNM: Has not met expected standard] [5 PK6: Pre-key stage standard 6] [6 PK5: Pre-key stage standard 5] [7 PK4: Pre-key stage standard 4] [8 PK3: Pre-key stage standard 3] [9 PK2: Pre-key stage standard 2] [10 PK1: Pre-key stage standard 1] [11 PKE: Did not sit test - early development for the expected standard] [12 PKF: Did not sit test - foundations for the expected standard] [13 PKG: Did not sit test - growing development for the expected standard] [14 BLW: Below standard of pre-key stage] [17 M: Missing],primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.science_TAO,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,science_TAO,Science - Teacher Assessment Outcome,categorical,[2 EXS: Working at expected standard] [4 HNM: Has not met expected standard] [15 A: Absent for long periods/recently arrvied/not enough information] [16 D: Disapplied from national curriculum],primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.reading_TAO,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,reading_TAO,Reading - Teacher Assessment Outcome,categorical,[2 EXS: Working at expected standard] [4 HNM: Has not met expected standard] [5 PK6: Pre-key stage standard 6] [6 PK5: Pre-key stage standard 5] [7 PK4: Pre-key stage standard 4] [8 PK3: Pre-key stage standard 3] [9 PK2: Pre-key stage standard 2] [10 PK1: Pre-key stage standard 1] [11 PKE: Did not sit test - early development for the expected standard] [12 PKF: Did not sit test - foundations for the expected standard] [13 PKG: Did not sit test - growing development for the expected standard] [14 BLW: Below standard of pre-key stage] [17 M: Missing],primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.writing_TAO,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,writing_TAO,Writing - Teacher Assessment Outcome,categorical,[1 GDS: Working at greater depth] [2 EXS: Working at expected standard] [3 WTS: Working towards expected standard] [5 PK6: Pre-key stage standard 6] [6 PK5: Pre-key stage standard 5] [7 PK4: Pre-key stage standard 4] [8 PK3: Pre-key stage standard 3] [9 PK2: Pre-key stage standard 2] [10 PK1: Pre-key stage standard 1] [11 PKE: Did not sit test - early development for the expected standard] [12 PKF: Did not sit test - foundations for the expected standard] [13 PKG: Did not sit test - growing development for the expected standard] [14 BLW: Below standard of pre-key stage] [15 A: Absent for long periods/recently arrvied/not enough information] [16 D: Disapplied from national curriculum],primary_schooling,3466,3466
BiB_Education_Record.edrecs_ks2.maths_ProgressScore,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,maths_ProgressScore,Maths - Progress Score,float,,primary_schooling,3412,3412
BiB_Education_Record.edrecs_ks2.reading_ProgressScore,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,reading_ProgressScore,Reading - Progress Score,float,,primary_schooling,3414,3414
BiB_Education_Record.edrecs_ks2.writing_ProgressScore,BiB_Education_Record.edrecs_ks2,BiB_Education_Record,edrecs_ks2,writing_ProgressScore,Writing - Progress Score,float,,primary_schooling,3428,3428
