project,table,variable
BiB_Education_Record,edrecs_ks2,BiBPersonID
BiB_Education_Record,edrecs_ks2,YearTest
BiB_Education_Record,edrecs_ks2,AcademicYearTest
BiB_Education_Record,edrecs_ks2,AgeMonths
BiB_Education_Record,edrecs_ks2,AgeYrs
BiB_Education_Record,edrecs_ks2,TestEstablishment
BiB_Education_Record,edrecs_ks2,maths_ScaledScore
BiB_Education_Record,edrecs_ks2,reading_ScaledScore
BiB_Education_Record,edrecs_ks2,gps_ScaledScore
BiB_Education_Record,edrecs_ks2,acheived_RWM
BiB_Education_Record,edrecs_ks2,maths_TAO
BiB_Education_Record,edrecs_ks2,science_TAO
BiB_Education_Record,edrecs_ks2,reading_TAO
BiB_Education_Record,edrecs_ks2,writing_TAO
BiB_Education_Record,edrecs_ks2,maths_ProgressScore
BiB_Education_Record,edrecs_ks2,reading_ProgressScore
BiB_Education_Record,edrecs_ks2,writing_ProgressScore
