variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Education_Record.edrecs_y1_phonics.BiBPersonID,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,BiBPersonID,,text,,,11081,11081
BiB_Education_Record.edrecs_y1_phonics.has_edrecs_y1_phonics,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,has_edrecs_y1_phonics,Has year 1 phonics assessment,integer,,administration,11081,11081
BiB_Education_Record.edrecs_y1_phonics.has_edphon,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,has_edphon,Has: Year 1 Phonics Assessment,categorical,[1 has],administration,11081,11081
BiB_Education_Record.edrecs_y1_phonics.phonics_acyrtested1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_acyrtested1,School year of phonics test - Test 1,categorical,[1 R] [2 Y1] [3 Y2] [4 Y3] [5 Y4] [6 Y5] [7 Y6],administration,11081,11081
BiB_Education_Record.edrecs_y1_phonics.phonics_acyrtested2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_acyrtested2,School year of phonics test - Test 2,categorical,[1 R] [2 Y1] [3 Y2] [4 Y3] [5 Y4] [6 Y5] [7 Y6],administration,2331,2331
BiB_Education_Record.edrecs_y1_phonics.phonics_grade1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_grade1,Phonics test grade - Test 1,categorical,[1 Wa - Acheived expected standard for end of Y1] [2 Wt - Did not acheive expected standard for end of Y1] [3 A - Absent for long periods or recently arrived] [4 D - Pupil disapplied from test],primary_schooling,11033,11033
BiB_Education_Record.edrecs_y1_phonics.phonics_grade2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_grade2,Phonics test grade - Test 2,categorical,[1 Wa - Acheived expected standard for end of Y1] [2 Wt - Did not acheive expected standard for end of Y1] [3 A - Absent for long periods or recently arrived] [4 D - Pupil disapplied from test],primary_schooling,2328,2328
BiB_Education_Record.edrecs_y1_phonics.phonics_mark1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_mark1,Phonics test mark - Test 1,integer,,primary_schooling,10823,10823
BiB_Education_Record.edrecs_y1_phonics.phonics_mark2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_mark2,Phonics test mark - Test 2,integer,,primary_schooling,2220,2220
BiB_Education_Record.edrecs_y1_phonics.phonics_standard1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_standard1,Whether reached phonics standard - Test 1,categorical,[1 No] [2 Yes],primary_schooling,11081,11081
BiB_Education_Record.edrecs_y1_phonics.phonics_standard2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_standard2,Whether reached phonics standard - Test 2,categorical,[1 No] [2 Yes],primary_schooling,2331,2331
BiB_Education_Record.edrecs_y1_phonics.phonics_testestablishment1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_testestablishment1,School Code where Test 1 conducted: Phonics,text,,location,11081,11081
BiB_Education_Record.edrecs_y1_phonics.phonics_testestablishment2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,phonics_testestablishment2,School Code where Test 2 conducted: Phonics,text,,location,11081,11081
BiB_Education_Record.edrecs_y1_phonics.date_est1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,date_est1,Estimated date of assessment - Test 1,date,,administration,11081,11081
BiB_Education_Record.edrecs_y1_phonics.age_months_est1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,age_months_est1,Estimated age in months at assessment - Test 1,integer,,age,11081,11081
BiB_Education_Record.edrecs_y1_phonics.age_years_est1,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,age_years_est1,Estimated age in years at assessment - Test 1,integer,,age,11081,11081
BiB_Education_Record.edrecs_y1_phonics.date_est2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,date_est2,Estimated date of assessment - Test 2,date,,administration,2331,2331
BiB_Education_Record.edrecs_y1_phonics.age_months_est2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,age_months_est2,Estimated age in months at assessment - Test 2,integer,,age,2331,2331
BiB_Education_Record.edrecs_y1_phonics.age_years_est2,BiB_Education_Record.edrecs_y1_phonics,BiB_Education_Record,edrecs_y1_phonics,age_years_est2,Estimated age in years at assessment - Test 2,integer,,age,2331,2331
