project,table,variable
BiB_Education_Record,edrecs_y1_phonics,BiBPersonID
BiB_Education_Record,edrecs_y1_phonics,has_edrecs_y1_phonics
BiB_Education_Record,edrecs_y1_phonics,has_edphon
BiB_Education_Record,edrecs_y1_phonics,phonics_acyrtested1
BiB_Education_Record,edrecs_y1_phonics,phonics_acyrtested2
BiB_Education_Record,edrecs_y1_phonics,phonics_grade1
BiB_Education_Record,edrecs_y1_phonics,phonics_grade2
BiB_Education_Record,edrecs_y1_phonics,phonics_mark1
BiB_Education_Record,edrecs_y1_phonics,phonics_mark2
BiB_Education_Record,edrecs_y1_phonics,phonics_standard1
BiB_Education_Record,edrecs_y1_phonics,phonics_standard2
BiB_Education_Record,edrecs_y1_phonics,phonics_testestablishment1
BiB_Education_Record,edrecs_y1_phonics,phonics_testestablishment2
BiB_Education_Record,edrecs_y1_phonics,date_est1
BiB_Education_Record,edrecs_y1_phonics,age_months_est1
BiB_Education_Record,edrecs_y1_phonics,age_years_est1
BiB_Education_Record,edrecs_y1_phonics,date_est2
BiB_Education_Record,edrecs_y1_phonics,age_months_est2
BiB_Education_Record,edrecs_y1_phonics,age_years_est2
