project,table,variable
BiB_Geographic,bib_geog_food_environment,property_id
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_e_4_0_001
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_e_4_0_003
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_e_4_0_005
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_e_4_0_007
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_e_4_0_01
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_f_2_300
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_f_2500
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_f_2_1000
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_f_2_1500
BiB_Geographic,bib_geog_food_environment,fe_2021_all_count_f_2_2000
BiB_Geographic,bib_geog_food_environment,fe_2021_all_distance_f_2_mean
BiB_Geographic,bib_geog_food_environment,fe_2021_all_closest_d_2
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_e_4_0_001
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_e_4_0_003
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_e_4_0_005
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_e_4_0_007
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_e_4_0_01
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_f_2_300
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_f_2500
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_f_2_1000
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_f_2_1500
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_count_f_2_2000
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_dist_f_2_mean
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_wide_closest_d_2
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_e_4_0_001
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_e_4_0_003
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_e_4_0_005
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_e_4_0_007
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_e_4_0_01
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_f_2_300
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_f_2500
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_f_2_1000
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_f_2_1500
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_count_f_2_2000
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_distance_f_2_mean
BiB_Geographic,bib_geog_food_environment,fe_2021_ff_nrw_closest_d_2
