project,table,variable
BiB_Geographic,bib_geog_lsoa,LSOA11CD
BiB_Geographic,bib_geog_lsoa,IMD_2010_decile
BiB_Geographic,bib_geog_lsoa,IMD_2010_score
BiB_Geographic,bib_geog_lsoa,IMD_2019_decile
BiB_Geographic,bib_geog_lsoa,IMD_2019_score
BiB_Geographic,bib_geog_lsoa,IMD_2019_decile_bfd
BiB_Geographic,bib_geog_lsoa,IDACI_2019_decile
BiB_Geographic,bib_geog_lsoa,IDACI_2019_score
BiB_Geographic,bib_geog_lsoa,TDI_2011_score
BiB_Geographic,bib_geog_lsoa,TDI_2011_quintile
BiB_Geographic,bib_geog_lsoa,carstairs_index_2011
