project,table,variable
BiB_Geographic,bib_geog_person,BiBPersonID
BiB_Geographic,bib_geog_person,ParticipantType
BiB_Geographic,bib_geog_person,age_m
BiB_Geographic,bib_geog_person,age_closest_data_point
BiB_Geographic,bib_geog_person,date
BiB_Geographic,bib_geog_person,date_address_data_received
BiB_Geographic,bib_geog_person,months_to_closest_data_received
BiB_Geographic,bib_geog_person,property_id
BiB_Geographic,bib_geog_person,move_no
BiB_Geographic,bib_geog_person,total_moves
BiB_Geographic,bib_geog_person,LSOA11CD
BiB_Geographic,bib_geog_person,data_source
BiB_Geographic,bib_geog_person,not_in_eng_wales
BiB_Geographic,bib_geog_person,no_historical_address_data
BiB_Geographic,bib_geog_person,low_qual_data
BiB_Geographic,bib_geog_person,is_data_interpolated
