variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Geographic.bib_geog_public_transport_traffic.property_id,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,property_id,Unique ID of property (BiB generated),text,,,32486,32486
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_e_4_0_001,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_e_4_0_001,Distance decay weighted (0.001) count of airports,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_e_4_0_003,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_e_4_0_003,Distance decay weighted (0.003) count of airports,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_e_4_0_005,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_e_4_0_005,Distance decay weighted (0.005) count of airports,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_e_4_0_007,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_e_4_0_007,Distance decay weighted (0.007) count of airports,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_e_4_0_01,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_e_4_0_01,Distance decay weighted (0.01) count of airports,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_f_2_300,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_f_2_300,Count of airports within street network 300m,integer,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_f_2500,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_f_2500,Count of airports within street network of 500m,integer,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_f_2_1000,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_f_2_1000,Count of airports within street network of 1000m,integer,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_count_f_2_2000,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_count_f_2_2000,Count of airports within street network of 2000m,integer,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_distance_f_2_mean,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_distance_f_2_mean,Mean distance to all airports,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_air_closest_d_2,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_air_closest_d_2,Distance to closest airport in meters,float,,environmental_exposure,4103,4103
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_e_4_0_001,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_e_4_0_001,Distance decay weighted (0.001) count of bus stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_e_4_0_003,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_e_4_0_003,Distance decay weighted (0.003) count of bus stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_e_4_0_005,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_e_4_0_005,Distance decay weighted (0.005) count of bus stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_e_4_0_007,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_e_4_0_007,Distance decay weighted (0.007) count of bus stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_distance_f_2_mean,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_distance_f_2_mean,Mean distance to all bus stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_closest_d_2,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_closest_d_2,Distance to closest bus stop in meters,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_e_4_0_01,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_e_4_0_01,Distance decay weighted (0.01) count of bus stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_f_2_300,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_f_2_300,Count of bus stops within street network 300m,integer,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_f_2500,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_f_2500,Count of bus stops within street network of 500m,integer,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_f_2_1000,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_f_2_1000,Count of bus stops within street network of 1000m,integer,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_bus_count_f_2_2000,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_bus_count_f_2_2000,Count of bus stops within street network of 2000m,integer,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_coach_count_e_4_0_001,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_coach_count_e_4_0_001,Distance decay weighted (0.001) count of coach stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_coach_count_e_4_0_003,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_coach_count_e_4_0_003,Distance decay weighted (0.003) count of coach stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_coach_count_e_4_0_005,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_coach_count_e_4_0_005,Distance decay weighted (0.005) count of coach stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_coach_count_e_4_0_007,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_coach_count_e_4_0_007,Distance decay weighted (0.007) count of coach stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_coach_count_e_4_0_01,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_coach_count_e_4_0_01,Distance decay weighted (0.01) count of coach stops,float,,environmental_exposure,26423,26423
BiB_Geographic.bib_geog_public_transport_traffic.pt_2021_coach_count_f_2_300,BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,pt_2021_coach_count_f_2_300,Count of coach stops within street network 300m,integer,,environmental_exposure,26423,26423
