table_id,project_name,table_name,display_name,cohort_membership,entity_type,data_subjects,data_respondents,n_variables,n_rows,n_entities,last_updated
BiB_Geographic.bib_geog_person,BiB_Geographic,bib_geog_person,BiB person level geographic information,bib,participant,,,16,1022674,29664,2026-03-12 09:21:04.405022
BiB_Geographic.bib_geog_property,BiB_Geographic,bib_geog_property,BiB property level geographic information,bib,property,,,13,34269,34269,2026-03-10 15:21:29.492895
BiB_Geographic.bib_geog_lsoa,BiB_Geographic,bib_geog_lsoa,BiB LSOA level geographic information,bib,lsoa,,,16,3945,3945,2026-03-10 15:21:29.602243
BiB_Geographic.bib_geog_air_quality,BiB_Geographic,bib_geog_air_quality,BiB property level air quality information,bib,property,,,88,34269,34269,2026-03-10 14:48:04.3433
BiB_Geographic.bib_geog_built_env_indoor_qual,BiB_Geographic,bib_geog_built_env_indoor_qual,BiB property level built environment and indoor building quality,bib,property,,,39,34269,34269,2026-03-10 14:48:05.599602
BiB_Geographic.bib_geog_ndvi_longitudinal,BiB_Geographic,bib_geog_ndvi_longitudinal,BiB property level longitudinal NDVI data,,property,,,46,34269,34269,2026-03-10 14:48:17.607548
BiB_Geographic.bib_geog_food_environment,BiB_Geographic,bib_geog_food_environment,BiB property level food environment data,bib,property,,,36,34269,34269,2026-03-10 14:48:07.261604
BiB_Geographic.bib_geog_green_space,BiB_Geographic,bib_geog_green_space,BiB property level green space data,bib,property,,,220,34269,34269,2026-03-10 14:48:15.185661
BiB_Geographic.bib_geog_public_transport_traffic,BiB_Geographic,bib_geog_public_transport_traffic,BiB property level public transport and traffic data,bib,property,,,85,34269,34269,2026-03-10 14:48:20.194397
BiB_Geographic.bib_geog_sc_walkability_lu,BiB_Geographic,bib_geog_sc_walkability_lu,"BiB property level street centrality, walkability and land use data",bib,property,,,37,34269,34269,2026-03-10 14:48:22.149572
