project,table,variable
BiB_Geographic,bib_geog_person,BiBPersonID
BiB_Geographic,bib_geog_person,ParticipantType
BiB_Geographic,bib_geog_person,age_m
BiB_Geographic,bib_geog_person,age_closest_data_point
BiB_Geographic,bib_geog_person,date
BiB_Geographic,bib_geog_person,date_address_data_received
BiB_Geographic,bib_geog_person,months_to_closest_data_received
BiB_Geographic,bib_geog_person,property_id
BiB_Geographic,bib_geog_person,move_no
BiB_Geographic,bib_geog_person,total_moves
BiB_Geographic,bib_geog_person,LSOA11CD
BiB_Geographic,bib_geog_person,data_source
BiB_Geographic,bib_geog_person,not_in_eng_wales
BiB_Geographic,bib_geog_person,no_historical_address_data
BiB_Geographic,bib_geog_person,low_qual_data
BiB_Geographic,bib_geog_person,is_data_interpolated
BiB_Geographic,bib_geog_property,property_id
BiB_Geographic,bib_geog_property,UPRN
BiB_Geographic,bib_geog_property,x_coordinate_bng
BiB_Geographic,bib_geog_property,y_coordinate_bng
BiB_Geographic,bib_geog_property,x_coordinate_wgs84
BiB_Geographic,bib_geog_property,y_coordinate_wgs84
BiB_Geographic,bib_geog_property,postcode
BiB_Geographic,bib_geog_property,LSOA11CD
BiB_Geographic,bib_geog_property,WD21CD
BiB_Geographic,bib_geog_property,property_type
BiB_Geographic,bib_geog_property,is_in_bfd_la
BiB_Geographic,bib_geog_property,is_in_bibbs_area
BiB_Geographic,bib_geog_property,is_in_caz
BiB_Geographic,bib_geog_lsoa,LSOA11CD
BiB_Geographic,bib_geog_lsoa,IMD_2010_decile
BiB_Geographic,bib_geog_lsoa,IMD_2010_score
BiB_Geographic,bib_geog_lsoa,IMD_2019_decile
BiB_Geographic,bib_geog_lsoa,IMD_2019_score
BiB_Geographic,bib_geog_lsoa,IMD_2019_decile_bfd
BiB_Geographic,bib_geog_lsoa,IDACI_2019_decile
BiB_Geographic,bib_geog_lsoa,IDACI_2019_score
BiB_Geographic,bib_geog_lsoa,TDI_2011_score
BiB_Geographic,bib_geog_lsoa,TDI_2011_quintile
BiB_Geographic,bib_geog_lsoa,carstairs_index_2011
