project,table,variable
BiB_Glycomics,glycomics,BiBPersonID
BiB_Glycomics,glycomics,ParticipantType
BiB_Glycomics,glycomics,Barcode
BiB_Glycomics,glycomics,Plate
BiB_Glycomics,glycomics,Row
BiB_Glycomics,glycomics,Column
BiB_Glycomics,glycomics,GP1
BiB_Glycomics,glycomics,GP2
BiB_Glycomics,glycomics,GP3
BiB_Glycomics,glycomics,GP4
BiB_Glycomics,glycomics,GP5
BiB_Glycomics,glycomics,GP6
BiB_Glycomics,glycomics,GP7
BiB_Glycomics,glycomics,GP8
BiB_Glycomics,glycomics,GP9
BiB_Glycomics,glycomics,GP10
BiB_Glycomics,glycomics,GP11
BiB_Glycomics,glycomics,GP12
BiB_Glycomics,glycomics,GP13
BiB_Glycomics,glycomics,GP14
BiB_Glycomics,glycomics,GP15
BiB_Glycomics,glycomics,GP16
BiB_Glycomics,glycomics,GP17
BiB_Glycomics,glycomics,GP18
BiB_Glycomics,glycomics,GP19
BiB_Glycomics,glycomics,GP20
BiB_Glycomics,glycomics,GP21
BiB_Glycomics,glycomics,GP22
BiB_Glycomics,glycomics,GP23
BiB_Glycomics,glycomics,GP24
BiB_Glycomics,glycomics,GP25
BiB_Glycomics,glycomics,GP26
BiB_Glycomics,glycomics,GP27
BiB_Glycomics,glycomics,GP28
BiB_Glycomics,glycomics,GP29
BiB_Glycomics,glycomics,GP30
BiB_Glycomics,glycomics,GP31
BiB_Glycomics,glycomics,GP32
BiB_Glycomics,glycomics,GP33
BiB_Glycomics,glycomics,GP34
BiB_Glycomics,glycomics,GP35
BiB_Glycomics,glycomics,GP36
BiB_Glycomics,glycomics,GP37
BiB_Glycomics,glycomics,GP38
BiB_Glycomics,glycomics,GP39
