project,table,variable
BiB_GrowingUp,adult_survey_BiB1000_sample,BiBPersonID
BiB_GrowingUp,adult_survey_BiB1000_sample,Date
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtHowLongPAWeek_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtHowLongPAWeek_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtHowHardWorkPA
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildPAWeek_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildPAWeek_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildHowHardPA
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtOverallParent
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtBehaveWithChild_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtBehaveWithChild_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtBehaveWithChild_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtBehaveWithChild_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildRearing_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildRearing_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildRearing_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildRearing_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildRearing_5
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtChildRearing_6
BiB_GrowingUp,adult_survey_BiB1000_sample,guadt4weeksbehaviour_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadt4weeksbehaviour_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadt4weeksbehaviour_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadt4weeksbehaviour_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadt4weeksbehaviour_5
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_10
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_11
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_12
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_13
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_14
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_15
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_16
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_17
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_18
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_19
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_5
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_6
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_7
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_8
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_9
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit7days_other
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_10
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_11
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_12
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_13
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_14
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_15
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_16
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_17
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_18
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_19
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_20
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_21
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_22
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_5
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_6
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_7
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_8
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_9
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtVeg7days_other
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_5
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_6
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_7
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFood24hours_8
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtveg24hours
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtFruit24hours
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_1
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_10
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_11
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_12
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_13
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_14
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_2
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_3
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_4
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_5
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_6
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_7
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_8
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtSnacks7days_9
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtvegLastWeek
BiB_GrowingUp,adult_survey_BiB1000_sample,guadtfruitLastWeek
