variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_GrowingUp.adult_survey_MeDALL_sample.BiBPersonID,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,BiBPersonID,,text,,,2594,2594
BiB_GrowingUp.adult_survey_MeDALL_sample.Date,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,Date,Date survey completed,date,,administration,1574,1574
BiB_GrowingUp.adult_survey_MeDALL_sample.AgeMonths,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,AgeMonths,Age in months at survey completion,integer,,age,1574,1574
BiB_GrowingUp.adult_survey_MeDALL_sample.AgeYears,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,AgeYears,Age in years at survey completion,integer,,age,1574,1574
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheezingInChest,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheezingInChest,Has your child ever had wheezing or whistling in their chest,categorical,[1 No] [2 Yes],respiratory_system,1543,1543
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheeze12Months,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheeze12Months,Has your child had wheezing or whistling in the chestin the past 12 months?,categorical,[1 No] [2 Yes],respiratory_system,456,456
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtAttacksWheezing,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtAttacksWheezing,How many attacks of wheezing has your child hadin the past 12 months?,categorical,[1 None] [2 1 to 3] [3 4 to 12] [4 More than 12],respiratory_system,242,242
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtSleepDisturb,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtSleepDisturb,"In past 12 mths, how often has your child's sleep been disturbed due to wheeze",categorical,[1 Never woken with wheezing] [2 Less than one night per week] [3 One or more nights per week],respiratory_system,242,242
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheezingSpeech,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheezingSpeech,"In past 12 mths, has wheezing limited your child's sleep",categorical,[1 No] [2 Yes],respiratory_system,242,242
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtEverHadAsthma,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtEverHadAsthma,Has your child ever had asthma,categorical,[1 No] [2 Yes],respiratory_system,1543,1543
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheezyExercise,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtWheezyExercise,"In past 12 mths, has your child been wheezy after exercise",categorical,[1 No] [2 Yes],respiratory_system,1539,1539
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtDryCoughAtNight,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtDryCoughAtNight,"In past 12 mths, has child had a dry cough at night without a cold",categorical,[1 No] [2 Yes],respiratory_system,1543,1543
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtSneezeNotCold,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtSneezeNotCold,Has child ever had sneezing/runny or blocked nose without a cold,categorical,[1 No] [2 Yes],respiratory_system,1543,1543
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtSneeze12months,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtSneeze12months,In past 12 mths has child had sneezing/runny or blocked nose without a cold,categorical,[1 No] [2 Yes],respiratory_system,327,327
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtItchyWateryEyes,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtItchyWateryEyes,"In past 12 mths, has child had itchy/watery eyes with nose problem",categorical,[1 No] [2 Yes],respiratory_system,294,294
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_1,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_1,Nose problem occurred in January,categorical,[1 Yes],respiratory_system,131,131
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_10,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_10,Nose problem occurred in October,categorical,[1 Yes],respiratory_system,119,119
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_11,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_11,Nose problem occurred in November,categorical,[1 Yes],respiratory_system,145,145
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_12,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_12,Nose problem occurred in December,categorical,[1 Yes],respiratory_system,143,143
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_2,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_2,Nose problem occurred in February,categorical,[1 Yes],respiratory_system,105,105
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_3,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_3,Nose problem occurred in March,categorical,[1 Yes],respiratory_system,100,100
BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_4,BiB_GrowingUp.adult_survey_MeDALL_sample,BiB_GrowingUp,adult_survey_MeDALL_sample,guadtNoseMonth_4,Nose problem occurred in April,categorical,[1 Yes],respiratory_system,116,116
